Genus	Species	Subspecies	Name.Clem	Notes	Localities
Automolus	cinnamoneigula		Clibanornis rubiginosus		La Morelia-3
Automolus	holostictus		Thripadectes holostictus		Choachi-1; Salento-1; Santa Elena-6
Automolus	ignobilis		Thripadectes ignobilis		Cerro Munchique-1; Cocal-1
Automolus	infuscatus	infuscatus	Automolus infuscatus		Florencia-2; La Morelia-3
Automolus	melanorhynchus		Thripadectes melanorhynchus		Buena Vista-1
Automolus	ochrolaemus	turdinus	Automolus ochrolaemus		Buena Vista-4; Villavicencio-2
Automolus	pallidigularis	pallidigularis	Automolus ochrolaemus		Honda-1; Malena-2; Puerto Valdivia-2
Automolus	subulatus	assimilis	Automolus subulatus		Barbacoas-8; Buenavista-1; Juntas de Tamana-1; Novita-2
Automolus	subulatus	subulatus	Automolus subulatus		Florencia-1
Automolus			Automolus		La Morelia-1; Subia-2
Balanosphyra	flavigularis		Melanerpes formicivorus		Paramillo-1; Santa Elena-1
Bangsia	edwardsi		Bangsia edwardsi		Buenavista-5
Bangsia	melanochlamys		Bangsia melanochlamys		La Frijolera-3
Bangsia	rothschildi		Bangsia rothschildi		Rio Andagueda-1
Bartramia	longicauda		Bartramia longicauda		Chicoral-1
Baryphthengus	martii	semirufus	Baryphthengus martii		Alto Bonito-1; Barbacoas-9; Baudo-2; Juntas de Tamana-5; Puerto Valdivia-2
Basileuterus	bivittatus	chlorophrys	Myiothlypis chrysogaster		Buenavista-2
Basileuterus	culicivorus	cabanisi	Basileuterus culicivorus		Miraflores-1; Peque-1
Basileuterus	culicivorus	olivascens	Basileuterus culicivorus		Buena Vista-3; Villavicencio-1
Basileuterus	leteuviridio		Myiothlypis luteoviridis		Almaguer-2
Basileuterus	richardsoni	quindianus	Myiothlypis luteoviridis		Laguneta-1
Basileuterus	richardsoni		Myiothlypis luteoviridis		Coast Range-6
Basileuterus	rufifrons	mesochrysus	Basileuterus rufifrons		Andalucia-11; Chicoral-3; Fusugasuga-1
Basileuterus	semicervinus		Myiothlypis fulvicauda		Bagado-1
Basileuterus	tristriatus	tristriatus	Basileuterus tristriatus		Aguadita-2; Cerro Munchique-1; Cocal-1; El Roble-3; Gallera-3; La Candela-5; La Frijolera-1; La Palma-2; Lomitas-2; Miraflores-5; Paramo Santa Isabel-1; Salento-3; San Agustin-2; San Antonio-7
Blank	entry				Buenaventura-1; Cali-1; Florencia-1; Gallera-1; La Morelia-1; Miraflores-1
Boissonneaua	flavescens		Boissonneaua flavescens		Almaguer-2; Andalucia-1; Cerro Munchique-15; Cocal-1; El Roble-2; La Florida-3; Laguneta-2; Penon-2
Boissonneaua	jardini		Boissonneaua jardini		Buenavista-1
Bracgtspiza	capensis	peruviana	Zonotrichia capensis		Fomeque-1
Brachygalba	fulviventris	fulviventris	Brachygalba lugubris		Buena Vista-2; Villavicencio-1
Brachygalba	lugubris	caquetae	Brachygalba lugubris		Florencia-1; La Morelia-11; Villavicencio-3
Brachygalba	lugubris	fulviventris	Brachygalba lugubris		Buena Vista-1
Brachygalba	lugubris		Brachygalba lugubris		Florencia-1
Brotogeris	cyanoptera		Brotogeris cyanoptera		Barrigon-8; Villavicencio-1
Brotogeris	jugularis		Brotogeris jugularis		Honda-2; Magdalena River-1; Malena-5; Puerto Berrio-1
Buarremon	atricapillus		Arremon atricapillus		La Frijolera-2
Buarremon	brunneinuchis		Arremon brunneinucha		Miraflores-6
Buarremon	elaeoprorus		Atlapetes latinuchus		Santa Elena-1
Bucco	collaris		Bucco capensis		Florencia-1; La Morelia-1
Bucco	macrodactylus		Bucco macrodactylus		Buena Vista-2; La Morelia-3; Villavicencio-2
Burhinus	bistriatus	vocifer	Burhinus bistriatus		Villavicencio-2
Buteo	nitidus		Buteo nitidus		Barrigon-1; Magdalena River-2; Villavicencio-1
Buteo	platypterus		Buteo platypterus		Anolaima-1; El Roble-2; Honda-1; Juntas de Tamana-1; La Frijolera-2; Puerto Valdivia-3; Rio Toche-2; Salento-3; San Antonio-6; Santa Elena-2; Villavicencio-1
Buteo	swainsoni		Buteo swainsoni		Honda-1
Buteo			Buteo		Barrigon-1
Buteogallus	meridionalis		Buteogallus meridionalis		Villavicencio-3
Buteogallus	schistaceus		Buteogallus schistaceus		Barrigon-1
Butes			Buteo		Santa Isabel-1
Buthraupis	cucullata		Buthraupis montana		Cocal-1
Buthraupis	montana	cucullata	Buthraupis montana		Almaguer-4; Anolaima-2; Cerro Munchique-2; Cocal-4; Laguneta-1; Paramo Santa Isabel-4
Buthraupis	montana	gigas	Buthraupis montana		Penon-3; Subia-2
Butorides	striata		Butorides striata		Barbacoas-2; Cali-4; Chicoral-1; Honda-1; La Morelia-1; La Palma-1; Quibdo-1; Tumaco-1; Villavicencio-1
Butorides	virescens		Butorides virescens		Honda-1
Butorides			Butorides		Cali-4
Cacicus	cela	vitellinus	Cacicus cela		Magdalena River-1; Puerto Berrio-1
Cacicus	cela		Cacicus cela		Barrigon-8; Florencia-6; La Morelia-6
Cacicus	chrysonotus	leucoramphus	Cacicus chrysonotus		Almaguer-3; Coast Range-1; El Eden-3; Laguneta-8; Subia-2
Cacicus	haemorrhous	affinis	Cacicus haemorrhous		Florencia-1; La Morelia-1
Cacicus	uropygialis	pacificus	Cacicus uropygialis		Alto Bonito-7; Barbacoas-3; Baudo-2; Buenavista-3; La Vieja-1; Puerto Valdivia-2
Cacicus	uropygialis	uropygialis	Cacicus uropygialis		Andalucia-2; Salento-1
Cacicus			Cacicus		Barbacoas-1
Caenotriccus	ruficeps	ruficeps	Pseudotriccus ruficeps		Almaguer-1; Coast Range-5; Cocal-4; El Roble-2; Paramo Santa Isabel-1; Salento-1
Cairina	moschata		Cairina moschata		Villavicencio-1
Cairina			Cairina moschata		Rio Frio-4
Calidris	minutilla		Calidris minutilla		Juntas de Tamana-1; Novita-1; Palmira-1; Quibdo-3; Rio Frio-1
Calliphlox	mitchellii		Philodice mitchellii		Barbacoas-3; Gallera-2
Calospiza	cyaneicollis	caeruleocephala	Stilpnia cyanicollis		Anolaima-1
Campephilus	haematogaster	splendens	Campephilus haematogaster		Barbacoas-1; Puerto Valdivia-1
Campephilus	melanoleucos	malherbii	Campephilus melanoleucos		Coast Range-1; La Candela-1; La Palma-1; Lomitas-2; Noanama-1; Novita-1; Puerto Berrio-1; Salento-1; San Antonio-4; Turbaco-2
Campephilus	melanoleucos	melanoleucos	Campephilus melanoleucos		Villavicencio-1
Campephilus	melanoleucos		Campephilus melanoleucos		Florencia-1; Villavicencio-1
Campephilus	pollens		Campephilus pollens		Almaguer-2; Anolaima-1; Cerro Munchique-1; Cocal-4; El Roble-1; La Florida-4; Laguneta-1; Paramo Santa Isabel-3; Salento-2
