Genus	Species	Subspecies	Name.Clem	Notes	Localities
Euphonia	crassirostris	crassirostris	Euphonia laniirostris		Chicoral-5; El Consuelo-1; Honda-4; Palmira-2; Puerto Berrio-2; Puerto Valdivia-6
Euphonia	cyanocephala	cyanocephala	Euphonia cyanocephala		Buena Vista-2; La Sierra-1
Euphonia	cyanocephala		Euphonia cyanocephala		Buena Vista-1
Euphonia	fulvicrissa	omissa	Euphonia fulvicrissa		Bagado-1; Juntas de Tamana-1; Noanama-1; Quibdo-1; San Jose-1
Euphonia	fulvicrissa	purpurascens	Euphonia fulvicrissa		Barbacoas-1
Euphonia	fulvicrissa		Euphonia fulvicrissa		Barbacoas-1
Euphonia	laniirostris	crassirostris	Euphonia laniirostris		Cali-1
Euphonia	laniirostris	melanura	Euphonia laniirostris		Florencia-1
Euphonia	nigricollis				Caldas-3
Euphonia	olivacea	humilis	Euphonia minuta		Barbacoas-1; Baudo-1; Juntas de Tamana-1; Noanama-5; Quibdo-3
Euphonia	saturata		Euphonia saturata		Caldas-6; San Antonio-1
Euphonia	xanthogaster	brevirostris	Euphonia xanthogaster		Andalucia-1; Buena Vista-2; La Morelia-4; Quetame-1
Euphonia	xanthogaster	chocoensis	Euphonia xanthogaster		Alto Bonito-2; Cerro Munchique-1; Cocal-2; El Roble-1; Gallera-1; Juntas de Tamana-1; Miraflores-3; Novita-1; San Antonio-2; San Jose-1
Euphonia	xanthogastra	chocoenisis	Euphonia xanthogaster		Barbacoas-2; Ricaurte-1
Euprychortyx	parvicristatus		Colinus cristatus		Fomeque-1
Eupsittula	pertinax	aeruginosa	Eupsittula pertinax		Calamar-2; La Playa-1; Magdalena River-3; Varrud-1
Eupsittula	pertinax	lehmanni	Eupsittula pertinax		Villavicencio-1
Eupsychorlyx			Colinus cristatus		Fomeque-1
Eupsychortyx	c.	leucotis	Colinus cristatus		Calamar-6; Honda-9
Eupsychortyx			Colinus cristatus		Anolaima-1; Caldas-1; Cali-1; Chicoral-4; El Eden-1; Fusugasuga-1; La Sierra-1; Turbaco-1
Euscarthmus	granadensis		Hemitriccus granadensis		Alban-1; Almaguer-3; Coast Range-2; Cocal-3; Laguneta-3; Santa Elena-2
Euscarthmus	meloryphus		Euscarthmus meloryphus		
Euscarthmus	septentrionalis		Hemitriccus margaritaceiventer		Honda-2
Euscarthmus	striaticollis	zosterops	Hemitriccus zosterops		Florencia-2
Eutoxeres	aquila	heterurus	Eutoxeres aquila		Cocal-1
Eutoxeres	aquila		Eutoxeres aquila		San Jose-2
Eutoxeres	condamini	condamini	Eutoxeres condamini		La Morelia-1
Eutoxeres			Eutoxeres aquila		Buena Vista-1; La Morelia-1; La Palma-1; San Antonio-1
Falco	rufigularis		Falco rufigularis		Florencia-3; La Candela-1; La Palma-1; Malena-1; Palmira-1
Falco	sparverius	caucae	Falco sparverius		Cali-1; La Florida-1; La Tigrerra-1; Laguneta-1; Palmira-2; Popayan-1; Santa Elena-1
Falco	sparverius	intermedius	Falco sparverius		Villavicencio-1
Falco	sparverius	ochraceus	Falco sparverius		Andalucia-3; Anolaima-1; Barrigon-1; Barro Blanco-1; Honda-4; La Frijolera-1; Rio Toche-1; Villavicencio-1
Florisuga	mellivora	mellivora	Florisuga mellivora		Barbacoas-5; Buenavista-1
Florisuga	mellivora		Florisuga mellivora		Barbacoas-3; Miraflores-2; Noanama-1
Florisuga			Florisuga mellivora		Puerto Berrio-1
Fluvicola	pica		Fluvicola pica		Calamar-1; Cali-12; Honda-1; La Playa-1; Palmira-3; Rio Frio-1; Turbaco-2
Formicarius	analis	connectens	Formicarius analis		La Morelia-3; Villavicencio-3
Formicarius	analis	saturatus	Formicarius analis		Malena-3; Puerto Berrio-2; Puerto Valdivia-2; Rio Frio-1
Formicarius	colma	nigrifrons	Formicarius colma		Florencia-1; La Morelia-3
Formicarius	nigricapillus	destructus	Formicarius nigricapillus		San Jose-1
Formicarius	rufipectus	carrikeri	Formicarius rufipectus		Alban-1; Coast Range-1; El Roble-1; La Frijolera-1; La Tigrerra-1; Lomitas-1; Miraflores-5; San Antonio-2
Formicivora	boucardi	consobrina	Microrhopias quixensis		San Jose-3
Forpus	conspicillatus	caucae	Forpus conspicillatus		Caldas-3; Cali-6; Miraflores-2; Palmira-1; Rio Frio-1; San Antonio-1
Forpus	conspicillatus	conspicillatus	Forpus conspicillatus		Villavicencio-2
Forpus	conspicillatus		Forpus conspicillatus		Caldas-1; Cali-3
Forpus	modestus	sclateri	Forpus modestus		La Morelia-3
Forpus	passerinus	spengeli	Forpus passerinus		Calamar-1; La Playa-3
Furnarius	agnatus		?Furnarius leucopus?		Bocas de Chimi-1; Calamar-2; Malena-2; Turbaco-2
Gabula	melanogenia		Galbula ruficauda		Barbacoas-5; Buenavista-1
Galbalcyrhynchus	leucotis		Galbalcyrhynchus leucotis		La Morelia-7
Galbula	albirostris	chalcocephala	Galbula albirostris		La Morelia-5
Galbula	ruficauda	melanogenia	Galbula ruficauda		Alto Bonito-2; Cisneros-1; Juntas de Tamana-3; Novita-2; Quibdo-2; San Jose-2
Galbula	ruficauda	pallens	Galbula ruficauda		Calamar-3
Galbula	ruficauda	pallens	Galbula ruficauda		Magdalena River-1
Galbula	ruficauda	pallens(app.ruficauda)	Galbula ruficauda		
Galbula	ruficauda	ruficauda	Galbula ruficauda		Chicoral-1; Honda-5; Puerto Berrio-1; Puerto Valdivia-3
Galbula	ruficauda		Galbula ruficauda		Chicoral-1; Magdalena River-1
Galbula	tombacea	tombacea	Galbula tombacea		Buena Vista-2; La Morelia-4; Villavicencio-8
Gallinago	braziliensis		Gallinago paraguaiae		Villavicencio-3
Gallinago	delicata		Gallinago delicata		Novita-1; Puerto Berrio-2
Gallinago	jamesoni	chapmani	Gallinago jamesoni		Paramo Santa Isabel-11
Gallinago	jamesoni		Gallinago jamesoni		Choachi-1
Gallinago	nobilis		Gallinago nobilis		Chipaque-1; Choachi-1; Paramo Santa Isabel-2; Valle de las Papas-3
Gallinago	undulata	undulata	Gallinago undulata		Villavicencio-1
Gallinula	melanops	bogotensis	Porphyriops melanops		Anolaima-4; Bogota-3
Gallinula					Cali-8
Geospizopsis	unicolor	geospizopsis	Geospizopsis unicolor		Choachi-5; Paramo Santa Isabel-14
Geothlypis	aequinoctialis		Geothlypis aequinoctialis		Puerto Berrio-1; Villavicencio-3
Geothlypis	philadelphia		Geothlypis philadelphia		Alban-1; Chipaque-1; Dabeiba-1; Honda-2; Puerto Berrio-1; Rio Frio-1; Villavicencio-3
Geothlypis	semiflava		Geothlypis semiflava		Buenavista-4; Caldas-1; Cali-1; Cisneros-1; Ricaurte-2
Geotrygon	frenata		Zentrygon frenata		Alban-1; Almaguer-1; El Roble-1; Laguneta-1; San Antonio-1
Geotrygon	montana		Geotrygon montana		San Antonio-1
Geotrygon	veraguensis		Leptotrygon veraguensis		Barbacoas-2
Geotrygon					Andalucia-4; Barbacoas-4; Baudo-6; Buena Vista-2; Cerro Munchique-1; Cocal-1; Florencia-1; Fusugasuga-1; Gallera-1; La Candela-5; La Florida-1; Lomitas-4; Puerto Valdivia-5; Rio Andagueda-1; San Antonio-6; San Jose-1
Glaucidium	brasilianum	brasilianum	Glaucidium brasilianum		Florencia-1
Glaucidium	brasilianum	phaloenoides	Glaucidium brasilianum		La Playa-1
Glaucidium	jardinii		Glaucidium jardinii		Choachi-1
Glaucis	aeneus		Glaucis aeneus		Barbacoas-2
Glaucis	columbiana		Glaucis aeneus/hirsutus		San Jose-1
Glaucis	hirsutus		Glaucis hirsutus		Alto Bonito-3; Cali-1; La Morelia-2; Malena-1; Villavicencio-1
Glyphorhynchus	cuneatus	castelnaudi	Glyphorynchus spirurus		Florencia-4; La Morelia-3
Glyphorhynchus	cuneatus	pectoralis	Glyphorynchus spirurus		Alto Bonito-3; Barbacoas-4; Buenavista-2; Cocal-1; Gallera-2; Noanama-1; Puerto Valdivia-1; San Jose-3
Glyphorynchus	spirurus	cuneatus	Glyphorynchus spirurus		Villavicencio-1
Gnathosittaca			Ognorhynchus icterotis		Miraflores-1
Gnathosittica	icterotis		Ognorhynchus icterotis		Rio Toche-1
Grallaria	alleni		Grallaria alleni		Salento-1
Grallaria	brevicauda	minor	Chamaeza nobilis		Florencia-2; La Morelia-2
Grallaria	guatimalensis	chocoensis	Grallaria guatimalensis		Baudo-1
Grallaria	hypoleuca		Grallaria hypoleuca		Aguadita-2; Fusugasuga-2; La Candela-1; San Agustin-1
Grallaria	milleri		Grallaria milleri		Laguneta-8
Grallaria	modesta		?Chamaeza?		Villavicencio-1
Grallaria	monticolor		?Grallaria quitensis?		Paramo Santa Isabel-10; Valle de las Papas-6
Grallaria	quitensis		Grallaria quitensis		Paramo Santa Isabel-1
Grallaria	ruficapilla	ruficapilla	Grallaria ruficapilla		Cerro Munchique-2; Cocal-1; El Eden-3; El Roble-2; La Florida-2; Miraflores-2; Ricaurte-4; Rio Toche-1; Salento-2; San Antonio-4
Grallaria	ruficapilla		Grallaria ruficapilla		Choachi-1
Grallaria	ruficeps		Grallaria nuchalis		Almaguer-6; Laguneta-8
Grallaria	rufocinerea		Grallaria rufocinerea		Laguneta-4; Salento-1
Grallaria	rufula	rufula	Grallaria rufula		Coast Range-2; Laguneta-4
Grallaria	rufula		Grallaria rufula		Chipaque-1; Choachi-1; Paramillo-1; Penon-1
Grallaria	squamigera		Grallaria squamigera		Choachi-1; Laguneta-2; Paramo Santa Isabel-2
Grallaria					El Roble-1
Grallaricula	occidentalis		Grallaricula nana		Laguneta-1; Salento-1
Grallaricula					Cocal-1; La Candela-2; San Antonio-1
Gymnocichla	nudiceps		Gymnocichla nudiceps		Nare-1
Gymnopithys	bicolor	aequatorialis	Gymnopithys bicolor		Barbacoas-2
Gymnostinops	yuracares		Psarocolius bifasciatus		Florencia-1; La Morelia-1
Habia	olivacea		Chlorothraupis olivacea		Alto Bonito-5; Bagado-2; Barbacoas-6; Baudo-3; Buenaventura-2; Juntas de Tamana-2; Noanama-1; Novita-1; San Jose-5
Habia	stolzmanni		Chlorothraupis stolzmanni		Buenavista-3
Haematoderus	scutatus	granadensis	Pyroderus scutatus		La Palma-1; San Agustin-1
Hafferia	immaculata	immaculata	Hafferia immaculata		Fusugasuga-1; Honda-2; La Frijolera-2
Hafferia	zeledoni	berlepschi	Hafferia zeledoni		Alto Bonito-3; Bagado-1; Barbacoas-9; Baudo-2; Buenavista-2
Hapalocrex	flaviventer		Hapalocrex flaviventer		Cali-2
Hapalopsittaca	fuertesi		Hapalopsittaca fuertesi		Laguneta-6; Paramo Santa Isabel-1
Haplospiza	rustica		Spodiornis rusticus		Almaguer-1
Haplospiza	unicolor	grandis	Haplospiza unicolor		Paramo Santa Isabel-2
Harpagus	bidentatus	bidentatus	Harpagus bidentatus		Villavicencio-1
Harpagus	bidentatus		Harpagus bidentatus		Bagado-2; Cisneros-1; Dabeiba-2; Puerto Valdivia-4
Harpiprion			Mesembrinibis cayennensis		Villavicencio-2
Heleodytes	albobrunneus	harterti	Campylorhynchus albobrunneus		Bagado-1; Dabeiba-1; La Vieja-3; San Jose-1
Heleodytes	minor	bicolor	Campylorhynchus griseus		Calamar-3; La Playa-6; Magdalena River-2; Sinu River-1; Turbaco-3
Heleodytes	nuchalis	nuchalis	Campylorhynchus nuchalis		Bocas de Chimi-1; Calamar-2; Magdalena River-1; Sinu River-1; Turbaco-1
Heleodytes	nuchalis		Campylorhynchus nuchalis		Turbaco-1
Heleodytes	purginus	hypostictus	Campylorhynchus turdinus		Andalucia-1; Florencia-3; La Morelia-2
Heliangelus	exortis	exortis	Heliangelus exortis		La Florida-1; Laguneta-1
Heliangelus	exortis		Heliangelus exortis		Almaguer-8; Cerro Munchique-2; Coast Range-5; El Eden-1; El Roble-8; Fusugasuga-2; Laguneta-27; Paramo Santa Isabel-3; Penon-1; Salento-1; Santa Elena-4
Helianthea	coeligena	columbiana	Coeligena coeligena		Andalucia-2; Anolaima-1; El Eden-3; Fusugasuga-1; La Candela-1
Heliochera	rubricristata		Ampelion rubrocristatus		Coast Range-1; Laguneta-1; Paramillo-6
Heliochera	rubro-cristata		Ampelion rubrocristatus		Paramo Santa Isabel-1
Heliochera	rubrocristata		Ampelion rubrocristatus		Laguneta-5; Paramo Santa Isabel-2; Penon-1; Valle de las Papas-5
Heliochera					Choachi-2
Heliodoxa	leadbeateri		Heliodoxa leadbeateri		Buena Vista-2; Chipaque-1; La Candela-9; La Frijolera-1; San Agustin-8
Heliodoxa	rubinoides	aequatorialis	Heliodoxa rubinoides		Miraflores-1; Salento-2; San Antonio-5
Heliodoxa	rubinoides	rubinoides	Heliodoxa rubinoides		El Roble-1
Heliornis	fulica		Heliornis fulica		Barbacoas-1
Heliothryx	barroti		Heliothryx barroti		Barbacoas-2; Juntas de Tamana-1; Noanama-1; San Jose-5
Hellmayrea	gularis	gularis	Hellmayrea gularis		Coast Range-5; Laguneta-2; Paramillo-1; Penon-1
Helodromas			?Tringa?		Cali-1; Palmira-1; San Antonio-1
Hemispingus	atropileus		Kleinothraupis atropileus		Choachi-2; Coast Range-1; Cocal-2; Laguneta-3; Salento-2
Hemispingus	frontalis	oleagineus	Sphenopsis frontalis		El Eden-2; Gallera-2; Rio Toche-1; Salento-2; Subia-5
Hemispingus	frontalis	oleogineus	Sphenopsis frontalis		Aguadita-1
Hemispingus	rubirostris		Cnemoscopus rubrirostris		Almaguer-5
Hemispingus	rubrirostris		Cnemoscopus rubrirostris		El Roble-1; Laguneta-3; Paramillo-1; Paramo Santa Isabel-1; Salento-3; Santa Elena-4
Hemispingus	superciliaris	nigrifrons	Thlypopsis superciliaris		Laguneta-3; Paramo Santa Isabel-1; Valle de las Papas-4
Hemispingus	superciliaris	superciliaris	Thlypopsis superciliaris		Choachi-1
Hemithraupis	guira	guirina	Hemithraupis guira		Florencia-1; La Candela-1; La Frijolera-1; Puerto Valdivia-1; Rio Frio-2
Henicorhina	inornata		Henicorhina leucosticta		Barbacoas-3; Buenavista-2; Novita-3; San Jose-2
Henicorhina	leucophrys	brunneiceps	Henicorhina leucophrys		Cocal-2; Gallera-2; Ricaurte-1
Henicorhina	leucophrys		Henicorhina leucophrys		Aguadita-4; Anolaima-1; Buena Vista-1; Cerro Munchique-8; Chipaque-1; Choachi-2; El Eden-3; El Roble-5; Fomeque-1; Fusugasuga-3; La Candela-1; La Frijolera-2; La Tigrerra-1; Lomitas-1; Miraflores-4; Rio Toche-5; Salento-4; San Antonio-13; Santa Elena-4; Subia-3
Henicorhina	leucophys	guttata	Henicorhina leucophrys		Andalucia-1; La Candela-5; La Palma-3
Henicorhina	leucosticta	albilateralis	Henicorhina leucosticta		Peque-3; Rio Frio-3
Henicorhina	leucosticta		Henicorhina leucosticta		Alto Bonito-6; Dabeiba-1; Florencia-4; La Morelia-4
Henicorhina	prospheleuca	eucharis	Henicorhina leucosticta		Lomitas-5
Henicorhina	prosthelenca	albilateralis	Henicorhina leucosticta		El Consuelo-2
Henicorhina			Henicorhina		Subia-1
Herpetotheres	cachinnans		Herpetotheres cachinnans		Alto Bonito-1; Barbacoas-1
Herpetotheres			Herpetotheres cachinnans		Barrigon-1; Honda-1; Rio Frio-1; San Jose-2; Villavicencio-1
Herpsilochmus	rufimarginatus	frater	Herpsilochmus rufimarginatus		Buena Vista-1
Heterospingus	xanthopygius		Heterospingus xanthopygius		Alto Bonito-2; San Jose-1
Hgyrtria	rosenbergi		Amazilia rosenbergi		Barbacoas-6
Hgyrtria	viridiceps		Amazilia ?viridiceps?		Ricaurte-1
Himantopus			Himantopus mexicanus		Cali-2
Hirundinea	sclateri		Hirundinea ferruginea		Quetame-2
Hirundo	rustica	erythrogaster	Hirundo rustica		Juntas de Tamana-1; Quibdo-1
Holochlora	litae		Cryptopipo holochlora		San Jose-3
Hydropsalis	climacocerca		Hydropsalis climacocerca		La Morelia-5
Hylocharis	grayi		Hylocharis grayi		Caldas-1; Cali-2; La Sierra-2; La Tigrerra-1; Miraflores-1; Popayan-3; San Antonio-15
Hylocharis	humboldtii		Hylocharis humboldtii		Buenaventura-1; Tumaco-3
Hylomanes	momotula		Hylomanes momotula		Dabeiba-5
Hylopezus	dives	barbacoae	Hylopezus dives		Alto Bonito-5; Barbacoas-4; San Jose-1
Hylopezus	dives	fulviventris	Hylopezus dives		La Morelia-1
Hylopezus	perspicillatus	periophthalmicus	Hylopezus perspicillatus		Barbacoas-1; Baudo-4
Hylopezus			Hylopezus dives		Puerto Valdivia-1
Hylophilus	semibrunneus		Pachysylvia semibrunnea		Aguadita-1; La Tigrerra-1; Miraflores-4; Palmira-1; San Agustin-1
Hylophilus					San Antonio-1
Hylophylax	lepidonota		Willisornis poecilinotus		La Morelia-3
Hylophylax	naevioides		Hylophylax naevioides		Barbacoas-8; Baudo-1; Malena-1
Hylophylax	naevius	theresae	Hylophylax naevius		La Morelia-7
Hypnelus	ruficollis	ruficollis	Hypnelus ruficollis		La Playa-3; Magdalena River-1; Turbaco-4; Varrud-1
Hypnelus	ruficollis		Hypnelus ruficollis		Calamar-3; Puerto Berrio-1
Hypocnemis	hypoxantha		Hypocnemis hypoxantha		La Morelia-1
Hypocnenus	cantator	peruviana	Hypocnemis peruviana		La Morelia-4
Hypolophus	canadensis	pulchellis	Sakesphorus canadensis		La Playa-7; Turbaco-2
Hypopyrrhus	pyrohypogaster		Hypopyrrhus pyrohypogaster		El Roble-2; La Frijolera-7; Peque-1; Salento-5
Hypoxanthus					Choachi-1
Ibycter	americanus		Ibycter americanus		La Morelia-3; Puerto Valdivia-1
Icterus	auricapillus		Icterus auricapillus		Girardot-1; Honda-1
Icterus	chrysater	giraudii	Icterus chrysater		Andalucia-4; Barro Blanco-3; Buena Vista-2; Cerro Munchique-1; Chicoral-1; Fusugasuga-2; Honda-2; La Frijolera-1; La Sierra-2; Miraflores-2; Quetame-2; Salento-1; San Agustin-1; San Antonio-8; Villavicencio-1
Icterus	mesomelas	salvinii	Icterus mesomelas		Puerto Berrio-3; Quibdo-1
Icterus	nigrogularis	nigrogularis	Icterus nigrogularis		Barrigon-1; Bocas de Chimi-1; Calamar-2; La Playa-3; Puerto Berrio-1; Turbaco-1
Icterus	spurius		Icterus spurius		Magdalena River-2
Ictinia	plumbea		Ictinia plumbea		Cali-2; Villavicencio-2
Inezia	caudata	intermedia	Inezia caudata		Magdalena River-1
Iodopleura	isabellae		Iodopleura isabellae		Barrigon-3
Iridoprocne	albiventris		Tachycineta albiventer		La Morelia-12; La Playa-7
Iridornis	porphyrocephala		Iridosornis porphyrocephalus		San Antonio-1
Iridosornis	dubusia	dubusia	Dubusia taeniata		Penon-1
Iridosornis	porphyrocephalus		Iridosornis porphyrocephalus		Cerro Munchique-1; Cocal-2; San Antonio-5; Santa Elena-1
Iridosornis	rufivertex	caeruleoventris	Iridosornis rufivertex		Paramillo-2
Iridosornis	rufivertex	ignicapillus	Iridosornis rufivertex		Almaguer-7; Choachi-1; Coast Range-12
Isleria	guttata		Isleria guttata		La Morelia-2
Ixobrychus	exilis	bogotensis	Ixobrychus exilis		Bogota-2
Ixobrychus			Ixobrychus exilis		Rio Frio-1
Jacana	jacana	hypomelaena	Jacana jacana		La Playa-7
Jacana	jacana	intermedia	Jacana jacana		Villavicencio-1
Jacana	melanopygia		Jacana jacana		Cali-7; Rio Frio-1
Jacana	niger		Jacana jacana		Puerto Berrio-1
Jacana	spinosa		Jacana jacana		La Morelia-1
Jacana			Jacana jacana		Calamar-1; Cali-2; La Playa-1
Juliamyia	julie	julie	Juliamyia julie		Honda-1
Klais	guimeti		Klais guimeti		Andalucia-1; Buena Vista-3
Knipolegus	poecilurus	poecilurus	Knipolegus poecilurus		La Candela-1; La Palma-2; San Agustin-1
Knipolegus	poecilurus		Knipolegus poecilurus		Coast Range-1; Santa Elena-1
Lafresnaya	lafresnayi		Lafresnaya lafresnayi		Chipaque-1; El Eden-1; El Roble-1; Paramo Santa Isabel-1; Penon-1; Rio Toche-2; Subia-1
Lafresnayea			Lafresnaya lafresnayi		Coast Range-1
Laterallus	albigularis		Laterallus albigularis		Barbacoas-3; San Antonio-1
Lathria	cryptolopha		Snowornis cryptolophus		Andalucia-1
Lathria	fuscocinerea	fuscocinerea	Lipaugus fuscocinereus		El Roble-3; Paramillo-1; Subia-1
Lathria	fuscocinerea		Lipaugus fuscocinereus		El Eden-1; Laguneta-1; Salento-2
Lathria	unirufa	castaneotincta	Lipaugus unirufus		Barbacoas-2; Baudo-3; Noanama-1; Novita-4; Puerto Valdivia-2
Lathria			Lipaugus fuscocinereus		Choachi-1
Legatus	leucophaius		Legatus leucophaius		Cali-1; Cisneros-1; Lomitas-1; San Antonio-6
Leiothlypis	peregrina		Leiothlypis peregrina		Buena Vista-1; Choachi-1; Miraflores-1; Santa Elena-1
Leistes	militaris		Leistes militaris		Sinu River-2; Villavicencio-2
Lepidocolaptes	lacrymiger	warscewiczi	Lepidocolaptes lacrymiger		Ricaurte-1
Lepidocolaptes	lacrymiger		Lepidocolaptes lacrymiger		La Palma-1; La Sierra-1
Lepidopyga	coelina		Lepidopyga coeruleogularis		Calamar-1; Magdalena River-3; Varrud-1
Lepidopyga	goudoti		Lepidopyga goudoti		Andalucia-1; Chicoral-3; Honda-1; San Agustin-1
Lepidothrix	coronata	minuscula	Lepidothrix coronata		Bagado-1; Barbacoas-1
Lepidothrix	coronata		Lepidothrix coronata		Alto Bonito-7; Bagado-4; Barbacoas-10; Baudo-1; Buenaventura-1; Florencia-15; Juntas de Tamana-1; La Morelia-13; Noanama-1; Novita-5; Puerto Valdivia-5; Rio Andagueda-1; San Jose-5
Leptasthenura	andicola		Leptasthenura andicola		Paramo Santa Isabel-4
Leptodon	cayanensis		Leptodon cayanensis		Baudo-1
Leptopodon	uncinatus		Chondrohierax uncinatus		Rio Frio-1
Leptopogon	amaurocephalus		Leptopogon amaurocephalus		Chicoral-1; Villavicencio-1
Leptopogon	erythrops	poliocephalus	Leptopogon rufipectus		Dabeiba-1; Peque-1
Leptopogon	erythrops		Leptopogon rufipectus		Aguadita-4; El Roble-2; La Candela-3; La Palma-6; Santa Elena-2
Leptopogon	superciliaris	superciliaris	Leptopogon superciliaris		Alto Bonito-1; Buena Vista-2; Cocal-1; Dabeiba-1; Miraflores-2; Villavicencio-2
Leptopogon	superciliaris		Leptopogon superciliaris		La Candela-3
Leptotila	conoveri		Leptotila conoveri		Rio Toche-1
Leptotila	pallida		Leptotila pallida		Novita-1
Leptotila	rufaxilla	dubusi	Leptotila rufaxilla		La Morelia-1
Leptotila	verreauxi	decolor	Leptotila verreauxi		Miraflores-1; Salento-2; San Antonio-1
Leptotila	verreauxi	verreauxi	Leptotila verreauxi		Anolaima-1; Calamar-2; La Candela-2; Puerto Valdivia-1
Leptotila	verreauxi		Leptotila verreauxi		Chicoral-2
Leptotila			Leptotila		Andalucia-2; Barbacoas-6; Buena Vista-1; Calamar-1; Caldas-2; Cerro Munchique-5; Florencia-1; Gallera-1; Honda-3; La Candela-1; La Morelia-8; La Playa-2; Lomitas-2; Magdalena River-4; Miraflores-4; Peque-1; Puerto Berrio-1; Rio Frio-1; San Antonio-2; San Jose-3; Sinu River-1; Villavicencio-1
Leucolapus	dichrous		Cyphorhinus thoracicus		San Antonio-1
Leucolepis	dichrous		Cyphorhinus thoracicus		La Frijolera-1
Leucolepis	phaeocephalus	phaeocephalus	Cyphorhinus phaeocephalus		Alto Bonito-4; Barbacoas-1; Baudo-3; Puerto Valdivia-1
Leucolepis	salvini		Cyphorhinus arada		Florencia-3
Leucolepus	dichrous		Cyphorhinus thoracicus		Cocal-2; El Eden-1; San Antonio-5
Leucopternis	semiplumbeus		Leucopternis semiplumbeus		Bagado-1; Cisneros-1
Lipangus	simplex		Rhytipterna simplex		Florencia-1
Lipaugus	holerythrus	holerythrus	Rhytipterna holerythra		Alto Bonito-3; Puerto Valdivia-3
Lipaugus	holerythrus	rosenbergi	Rhytipterna holerythra		Cisneros-1
Lipaugus	vociferans		Lipaugus vociferans		Andalucia-1; Florencia-5
Lochmias	sororia		Lochmias nematura		Fomeque-1
Lochmias			Lochmias nematura		Buena Vista-1; Miraflores-2
Lophostrix			Lophostrix cristata		Barbacoas-3
Lophotriccus	spicifer		Lophotriccus vitiosus		La Morelia-1
Lophotriccus	squamaecrista	minor	Lophotriccus pileatus		Barbacoas-1; Ricaurte-1
Lophotriccus	squamaecrista	squamaecrista	Lophotriccus pileatus		Buena Vista-3; La Frijolera-1; La Tigrerra-1; Miraflores-1; San Antonio-1
Lophotriccus	squamaecristatus	squamaecristatus	Lophotriccus pileatus		Alban-2; La Candela-1; Lomitas-4; San Agustin-1
Lophotriccus			Lophotriccus pileatus		Fusugasuga-1; Lomitas-1
Lophotriorchis			Spizaetus isidori		Andalucia-1; Paramillo-1
Loptotila	v.	occidentalis	Leptotila verreauxi		Barbacoas-2
Lurocalis	rufiventris		Lurocalis rufiventris		Aguadita-4; Subia-2
Machaeropterus	deliciosus		Machaeropterus deliciosus		Buenavista-10
Machaeropterus	striolatus		Machaeropterus striolatus		Alto Bonito-1; Florencia-5; La Frijolera-1; La Morelia-1; Puerto Valdivia-2
Machetornis	rixosa	flavigularis	Machetornis rixosa		Barrigon-1; La Playa-3; Magdalena River-1; Villavicencio-3
Macroagelaius	subalaris		Macroagelaius subalaris		Subia-2
Macropsalis	segmentata		Uropsalis segmentata		Choachi-1; Fomeque-1
Malacoptila	fusca		Malacoptila fusca		Andalucia-1; La Morelia-2
Malacoptila	mystacalis		Malacoptila mystacalis		Anolaima-1; El Roble-1; La Frijolera-1; Salento-2
Malacoptila	panamensis	panamensis	Malacoptila panamensis		Alto Bonito-2; Baudo-4; Dabeiba-1; Novita-2; Puerto Valdivia-4
Malacoptila	panamensis	poliopis	Malacoptila panamensis		Barbacoas-6; Cisneros-1
Manacus	manacus	abditivus	Manacus manacus		Malena-1; Puerto Valdivia-1
Manacus	manacus	bangsi	Manacus manacus		Barbacoas-9
Manacus	manacus	flaveolus	Manacus manacus		Chicoral-6; Honda-2
Manacus	manacus	interior	Manacus manacus		Barbacoas-10; Villavicencio-3
Manacus	manacus	milleri	Manacus manacus		Puerto Valdivia-13
Manacus	manacus	vitellinus	Manacus manacus		Alto Bonito-5; Buenaventura-1; Cisneros-8; Dabeiba-6; Juntas de Tamana-2; Noanama-1; Novita-2; Quibdo-1; Rio Frio-2; San Jose-7
Margarornis	perlata		Margarornis squamiger		Almaguer-5; Cerro Munchique-8; Laguneta-5; Paramo Santa Isabel-5; Penon-2; Salento-1; Valle de las Papas-6
Margarornis	squamiger	perlatus	Margarornis squamiger		Santa Elena-1; Valle de las Papas-1
Margarornis			Margarornis stellatus		San Antonio-1
Marila			Netta erythrophthalma		Cali-14
Masius	chrysopterus		Masius chrysopterus		Aguadita-4; Fusugasuga-2; La Candela-5
Masius	coronulatus		Masius chrysopterus		Buenavista-4
Masius	corunulatus		Masius chrysopterus		Cocal-2; Gallera-3; La Frijolera-1; Lomitas-4; San Antonio-1
Masius			Masius chrysopterus		Subia-1
Mecocerculus	leucophrys	setophagoides	Mecocerculus leucophrys		Chipaque-18; Coast Range-7; Fomeque-1; Laguneta-3; Paramillo-4; Paramo Santa Isabel-13; Penon-6; Subia-1; Tocaimito-2; Valle de las Papas-7
Mecocerculus	poecilocercus		Mecocerculus poecilocercus		Cerro Munchique-2; El Eden-1; El Roble-3; Fusugasuga-1; Salento-1
Mecocerculus	stictopterus		Mecocerculus stictopterus		Almaguer-5; Coast Range-3; Laguneta-4; Paramo Santa Isabel-2
Megaceryle	torquata	torquata	Megaceryle torquata		Barrigon-1; Cali-4; Honda-1; La Playa-1
Megaquiscalus	major	assimilis	Quiscalus mexicanus		Buenaventura-1; La Playa-4
Megarynchus	pitangua		Megarynchus pitangua		Chicoral-1
