Institution,CatalogNumberPrefix,Kind of Object,Order,Family,ScientificName,Common Name (Name : Language),Date Collected,Country,ProvinceStateTerritory,PreciseLocation.Verbatim,Elevation.m,Collector,FieldNumber,Sex.Stage,Preparation.Remarks
NMNH,256191,Specimen/Lot,Passeriformes,Dendrocolaptidae,Lepidocolaptes affinis sneiderni,Spot-crowned Woodcreeper; Montane Woodcreeper,1-Jun-11,Colombia,Cauca,"Cerro Munchique, Coast Range W of Popayan",2537 m,"Richardson, W. B.",AMNH 109698,Male,Skin: Whole
NMNH,255839,Specimen/Lot,Psittaciformes,Psittacidae,Pionus chalcopterus chalcopterus,,3-Jun-11,Colombia,Cauca,"Cerro Munchique, Coast Range W of Popayan",2537 m,"Richardson, W. B.",AMNH 109415,Male,Skin: Whole
NMNH,256393,Specimen/Lot,Passeriformes,Emberizidae,Tangara xanthocephala venusta,Saffron-crowned Tanager,8-Jun-11,Colombia,Cauca,"Cerro Munchique, Popayan, Coast Range W of",2134 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,255914,Specimen/Lot,Apodiformes,Trochilidae,Boissonneaua flavescens flavescens,Buff-tailed Coronet,10-Jun-11,Colombia,Cauca,"Cocal, W of Popayan",1219 m,Collector Unknown,AMNH 109469,Male,Skin: Whole
NMNH,256444,Specimen/Lot,Passeriformes,Emberizidae,Arremon aurantiirostris occidentalis,Orange-billed Sparrow,11-Jun-11,Colombia,Cauca,"Cocal, W of Popayan",1219 m,"Richardson, W. B.",AMNH 110012,Female,Skin: Whole
NMNH,256236,Specimen/Lot,Passeriformes,Troglodytidae,Cinnycerthia olivascens olivascens,Sharpe's Wren; Sepia-brown Wren,16-Jun-11,Colombia,Cauca,"Cocal, W of Popayan",1829 m,"Richardson, W. B.",AMNH 109891,Female,Skin: Whole
NMNH,256378,Specimen/Lot,Passeriformes,Emberizidae,Tangara heinei,Blue-and-black Tanager (Spot-bellied); Black-capped Tanager,20-Jun-11,Colombia,Cauca,Popayan,1829 m,"Richardson, W. B.",AMNH110196,Female,Skin: Whole
NMNH,256397,Specimen/Lot,Passeriformes,Emberizidae,Tangara vitriolina,Rufous-winged Tanager; Scrub Tanager,20-Jun-11,Colombia,Cauca,Popayan,1829 m,"Richardson, W. B.",,Female,Skin: Whole
NMNH,255927,Specimen/Lot,Apodiformes,Trochilidae,Hylocharis grayi grayi,Blue-headed Sapphire,22-Jun-11,Colombia,Cauca,Popayan,1829 m,"Richardson, W. B.",AMNH 109427,Male,Skin: Whole
NMNH,256455,Specimen/Lot,Passeriformes,Emberizidae,Saltator atripennis atripennis,Black-winged Saltator,22-Jun-11,Colombia,Cauca,Popayan,1829 m,"Richardson, W. B.",AMNH 110000,Male,Skin: Whole
NMNH,256406,Specimen/Lot,Passeriformes,Emberizidae,Tangara arthus occidentalis,Golden Tanager (arthus); Golden Tanager,29-Jun-11,Colombia,Cauca,"Gallera, W of Popayan",1737 m,"Richardson, W. B.",AMNH110150,Male,Skin: Whole
NMNH,256374,Specimen/Lot,Passeriformes,Emberizidae,Tangara ruficervix ruficervix,Rufous-cheeked Tanager; Golden-naped Tanager,29-Jun-11,Colombia,Cauca,"Gallera, W of Popayan",1737 m,"Richardson, W. B.",110174,Female,Skin: Whole
NMNH,255919,Specimen/Lot,Apodiformes,Trochilidae,Haplophaedia aureliae caucensis,Greenish Puffleg,29-Jun-11,Colombia,Cauca,"Gallera, W of Popayan",2042 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,256088,Specimen/Lot,Passeriformes,Cotingidae,Rupicola peruviana sanguinolenta,Andean Cock-of-the-rock,30-Jun-11,Colombia,Cauca,"Gallera, W of Popayan",1737 m,"Richardson, W. B.",AMNH 109857,Male,Skin: Whole
NMNH,256407,Specimen/Lot,Passeriformes,Emberizidae,Tangara arthus occidentalis,Golden Tanager (arthus); Golden Tanager,1-Jul-11,Colombia,Cauca,"Gallera, W of Popayan",1737 m,"Richardson, W. B.",AMNH110155,Male,Skin: Whole
NMNH,256384,Specimen/Lot,Passeriformes,Emberizidae,Tangara nigroviridis cyanescens,Beryl-spangled Tanager,3-Jul-11,Colombia,Cauca,"Gallera, W of Popayan",1737 m,"Richardson, W. B.",AMNH110169,Male,Skin: Whole
NMNH,256418,Specimen/Lot,Passeriformes,Emberizidae,Chlorospingus canigularis conspicillatus,Ashy-throated Bush-Tanager; Ashy-throated Chlorospingus (Olive-crowned); Ashy-throated Bush Tanager,4-Jul-11,Colombia,Cauca,"Popayan, W, Gallera",1737 m,"Richardson, W. B.",,Female,Skin: Whole
NMNH,256419,Specimen/Lot,Passeriformes,Emberizidae,Chlorospingus canigularis conspicillatus,Ashy-throated Bush-Tanager; Ashy-throated Chlorospingus (Olive-crowned); Ashy-throated Bush Tanager,5-Jul-11,Colombia,Cauca,"Popayan, W, La Florida",2347 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,256166,Specimen/Lot,Passeriformes,Furnariidae,Pseudocolaptes boissonneautii boissonneautii,Streaked Tuftedcheek,5-Jul-11,Colombia,Cauca,"La Florida, W of Popayan",2347 m,"Richardson, W. B.",AMNH 109664,Male,Skin: Whole
NMNH,256437,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes brunneinucha frontalis,Chestnut-capped Brushfinch (Plain-breasted); Chestnut-capped Brushfinch,8-Jul-11,Colombia,Cauca,"La Florida, W of Popayan",2347 m,"Richardson, W. B.",110055,Male/Adult,Skin: Whole
NMNH,255913,Specimen/Lot,Apodiformes,Trochilidae,Boissonneaua flavescens flavescens,Buff-tailed Coronet,8-Jul-11,Colombia,Cauca,"La Florida, W of Popayan",2347 m,"Richardson, W. B.",AMNH 109453,Male,Skin: Whole
NMNH,256074,Specimen/Lot,Passeriformes,Cotingidae,Pipreola riefferii occidentalis,Green-and-black Fruiteater,8-Jul-11,Colombia,Cauca,"La Florida, W of Popayan",2347 m,"Richardson, W. B.",AMNH 109866,Male,Skin: Whole
NMNH,256102,Specimen/Lot,Passeriformes,Formicariidae,Formicarius rufipectus carrikeri,Rufous-breasted Antthrush,10-Jul-11,Colombia,Cauca,"Popayan, W, Coast Range",3152 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,256435,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes torquatus assimilis,Gray-browed Brushfinch; Grey-browed Brushfinch,11-Jul-11,Colombia,Cauca,"Popayan, W of, Coast Range",3152 m,"Richardson, W. B.",110075,Female,Skin: Whole
NMNH,256434,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes torquatus assimilis,Gray-browed Brushfinch; Grey-browed Brushfinch,13-Jul-11,Colombia,Cauca,"Popayan, Coast Range, W of Popayan",3152 m,"Richardson, W. B.",110069,Male,Skin: Whole
NMNH,256160,Specimen/Lot,Passeriformes,Furnariidae,Synallaxis unirufa unirufa,Rufous Spinetail (unirufa); Rufous Spinetail,13-Jul-11,Colombia,Cauca,"Paramo, Coast Range W of Popayan",3152 m,"Richardson, W. B.",AMNH 109641,Female,Skin: Whole
NMNH,256299,Specimen/Lot,Passeriformes,Parulidae,Myioborus ornatus chrysops,Golden-fronted Redstart (Golden-fronted); Golden-fronted Whitestart,14-Jul-11,Colombia,Cauca,"Popayan, Coast Range W",3152 m,"Richardson, W. B.",AMNH 109955,Female,Skin: Whole
NMNH,256087,Specimen/Lot,Passeriformes,Cotingidae,Rupicola peruviana sanguinolenta,Andean Cock-of-the-rock,15-Jul-11,Colombia,Cauca,"La Florida, W of Popayan",2134 m,"Richardson, W. B.",AMNH 109855,Male,Skin: Whole
NMNH,256350,Specimen/Lot,Passeriformes,Emberizidae,Iridosornis rufivertex ignicapillus,Golden-crowned Tanager,15-Jul-11,Colombia,Cauca,"Popayan, W, Coast Range",3152 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,256427,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes schistaceus schistaceus,Slaty Brushfinch,16-Jul-11,Colombia,Cauca,"Popayan, Coast Range West of Popayan",3152 m,"Richardson, W. B.",110026,Male,Skin: Whole
NMNH,256159,Specimen/Lot,Passeriformes,Furnariidae,Synallaxis unirufa unirufa,Rufous Spinetail (unirufa); Rufous Spinetail,16-Jul-11,Colombia,Cauca,"Paramo, Coast Range W of Popayan",3152 m,"Richardson, W. B.",AMNH 109640,unknown,Skin: Whole
NMNH,255882,Specimen/Lot,Piciformes,Picidae,Piculus rubiginosus gularis,Golden-olive Woodpecker,17-Jul-11,Colombia,Cauca,"Popayan, W, Coast Range",3152 m,"Richardson, W. B.",,Male,Skin: Whole
NMNH,256038,Specimen/Lot,Passeriformes,Tyrannidae,Ochthoeca rufipectoralis obfuscata,Rufous-breasted Chat-Tyrant,18-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of",3152 m,"Richardson, W. B.",AMNH 109722,Male,Skin: Whole
NMNH,256279,Specimen/Lot,Passeriformes,Emberizidae,Diglossa cyanea cyanea,Masked Flowerpiercer,20-Jul-11,Colombia,Cauca,"Paramo, Coast Range W of Popayan",3152 m,"Richardson, W. B.",AMNH 110096,Female,Skin: Whole
NMNH,256003,Specimen/Lot,Passeriformes,Tyrannidae,Mecocerculus leucophrys setophagoides,White-throated Tyrannulet,20-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of, Paramo",3152 m,"Richardson, W. B.",AMNH 109770,Female,Skin: Whole
NMNH,256004,Specimen/Lot,Passeriformes,Tyrannidae,Mecocerculus leucophrys setophagoides,White-throated Tyrannulet,20-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of, Paramo",3152 m,"Richardson, W. B.",AMNH 109774,Male,Skin: Whole
NMNH,256009,Specimen/Lot,Passeriformes,Tyrannidae,Mecocerculus stictopterus stictopterus,White-banded Tyrannulet,20-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of, Paramo",3152 m,"Richardson, W. B.",AMNH 109768,Female,Skin: Whole
