Chapman	Clements	Notes
Chaetura cinereiventris occidentalis	Chaetura cinereiventris	NA
Cypseloides brunneitorques brunneitorques	Streptoprocne rutila	NA
Doryfera ludoviciae ludoviciae	Doryfera ludovicae	NA
Androdon aequatorialis	Androdon aequatorialis	NA
Threnetes cervinicauda	Threnetes leucurus	NA
Threnetes ruckeri fraseri	Threnetes ruckeri	NA
Glaucis hirsuta affinis	Glaucis hirsutus	NA
Glaucis aenea	Glaucis aeneus	NA
Phaethornis guyi emiliae	Phaethornis guy	NA
Phaethornis yaruqui sancti-johannis	Phaethornis yaruqui	NA
Phaethornis fraterculus moorei	Phaethornis malaris	NA
Phaethornis hispidus oseryi	Phaethornis hispidus	NA
Phaethornis syrmatophorus syrmatophorus	Phaethornis syrmatophorus	NA
Phaethornis syrmatophorus columbianus	Phaethornis syrmatophorus	NA
Phaethornis anthophilus	Phaethornis anthophilus	NA
Phaethornis griseogularis	Phaethornis griseogularis	NA
Phaethornis striigularis striigularis	Phaethornis striigularis	NA
Phaethornis striigularis subrufescens	Phaethornis striigularis	NA
Eutoxeres condaminii	Eutoxeres condamini	NA
Eutoxeres aquila aquila	Eutoxeres aquila	NA
Eutoxeres aquila salvini	Eutoxeres aquila	NA
Eutoxeres aquila heterura	Eutoxeres aquila	NA
Campylopterus obscurus aequatorialis	Campylopterus largipennis	NA
Campylopterus falcatus	Campylopterus falcatus	NA
Florisuga mellivora mellivora	Florisuga mellivora	NA
Agyrtria viridiceps	Amazilia franciae	NA
Agyrtrina viridissima		NA
Agyrtrina fluvialitis	Amazilia fimbriata	NA
Polyerata amabilis	Amazilia amabilis	NA
Polyerata rosenbergi	Amazilia rosenbergi	NA
Uranomitra franciae	Amazilia franciae	NA
Lepidopyga goudoti	Lepidopyga goudoti	NA
Lepidopyga coelina	Lepidopyga coeruleogularis	NA
Saucerottia saucerottei	Amazilia saucerottei	NA
Saucerottia viridigaster	Amazilia viridigaster	NA
Amizilis tzacatl tzacatl	Amazilia tzacatl	NA
Amizilis tzacatl jucunda	Amazilia tzacatl	NA
Hylocharis grayi	Hylocharis grayi	NA
Hylocharis humboldti	Hylocharis humboldtii	NA
Damophila juliae juliae	Juliamyia julie	NA
Chlorostilbon gibsoni	Chlorostilbon gibsoni	NA
Chlorostilbon haeberlini	Chlorostilbon gibsoni	NA
Chlorostilbon melanorhynchus	Chlorostilbon melanorhynchus	NA
Chlorostilbon poortmani poortmani	Chlorostilbon poortmani	NA
Thalurania fannyi fannyi	Thalurania colombica	NA
Thalurania fannyi verticeps	Thalurania colombica	NA
Thalurania nigrofasciata	Thalurania furcata	NA
Thalurania colombica colombica	Thalurania colombica	NA
Chalybura buffoni buffoni	Chalybura buffonii	NA
Chalybura caeruleogaster	Chalybura buffonii	NA
Chalybura urochrysa	Chalybura urochrysia	NA
Colibri delphinae	Colibri delphinae	NA
Colibri cyanotus	Colibri cyanotus	NA
Colibri iolata	Colibri coruscans	NA
Anthracothorax nigricollis nigricollis	Anthracothorax nigricollis	NA
Chrysolampis elatus	Chrysolampis mosquitus	NA
Simonula berlepschi	Anthocephala berlepschi	NA
