Chapman	Clements	Notes
Basileuterus luteoviridis	Myiothlypis luteoviridis	NA
Basileuterus richardsoni	Myiothlypis luteoviridis	NA
Basileuterus cinereicollis	Myiothlypis cinereicollis	NA
Basileuterus cabanisi	Basileuterus culicivorus	NA
Basileuterus tristriatus tristriatus	Basileuterus tristriatus	NA
Basileuterus coronatus	Myiothlypis coronata	NA
Basileuterus bivittatus chlorophrys	Myiothlypis bivittata	NA
Basileuterus auricapillus olivascens	Basileuterus culicivorus	NA
Basileuterus rufifrons mesochrysus	Basileuterus rufifrons	NA
Basileuterus fulvicauda semicervinus	Myiothlypis fulvicauda	NA
Basileuterus fulvicauda fulvicauda	Myiothlypis fulvicauda	NA
Anthus bogotensis	Anthus bogotensis	NA
Otocoris alpestris peregrina	Eremophila alpestris	NA
Catamblyrhynchus diadema	Catamblyrhynchus diadema	NA
Pheucticus uropygialis uropygialis	Pheucticus aureoventris	NA
Zamelodia ludoviciana	Pheucticus ludovicianus	NA
Cyanocompsa concreta cyanescens	Cyanoloxia cyanoides	NA
Cyanocompsa cyanea caucae	Cyanoloxia brissonii	NA
Oryzoborus angolensis	Sporophila angolensis	NA
Oryzoborus crassirostris crassirostris	Sporophila crassirostris	NA
Oryzoborus funereus	Sporophila funerea	NA
Sporophila grisea grisea	Sporophila intermedia	NA
Sporophila castaneiventris	Sporophila castaneiventris	NA
Sporophila minuta minuta	Sporophila minuta	NA
Sporophila aurita aurita	Sporophila corvina	NA
Sporophila aurita ophthalmica	Sporophila corvina	NA
Sporophila aurita murallae	Sporophila murallae	NA
Sporophila gutturalis	Sporophila nigricollis	NA
Sporophila luctuosa	Sporophila luctuosa	NA
Catamenia inornata minor	Catamenia inornata	NA
Catamenia homochroa	Catamenia homochroa	NA
Catamenia analoides schistaceifrons	Catamenia analis	NA
Tiaris olivacea pusilla	Tiaris olivaceus	NA
Tiaris bicolor omissa	Melanospiza bicolor	NA
Volatinia jacarini splendens	Volatinia jacarina	NA
Pitylus grossus	Saltator grossus	NA
Saltator maximus	Saltator maximus	NA
Saltator atripennis atripennis	Saltator atripennis	NA
Saltator atripennis caniceps	Saltator atripennis	NA
Saltator olivascens	Saltator coerulescens	NA
Saltator caerulescens azarae	Saltator coerulescens	NA
Saltator striatipectus striatipectus	Saltator striatipectus	NA
Spinus spinescens spinescens	Spinus spinescens	NA
Spinus nigricauda	Spinus spinescens	NA
Spinus xanthogaster	Spinus xanthogastrus	NA
Astragalinus psaltria columbianus	Spinus psaltria	NA
Sicalis flaveola	Sicalis flaveola	NA
Sicalis arvensis minor	Sicalis luteola	NA
Spiza americana	Spiza americana	NA
Ammodramus savannarum caucae	Ammodramus savannarum	NA
Myospiza manimbe columbiana	Ammodramus humeralis	NA
Myospiza aurifrons	Ammodramus aurifrons	NA
Myospiza cherriei	Ammodramus aurifrons	NA
Brachyspiza capensis peruviana	Zonotrichia capensis	NA
Arremonops conirostris conirostris	Arremonops conirostris	NA
Arremonops conirostris inexpectata	Arremonops conirostris	NA
Arremonops conirostris chrysoma	Arremonops conirostris	NA
Emberizoides sphenurus	Emberizoides herbicola	NA
Pseudochloris citrina antioquiae	Sicalis citrina	NA
Phrygilus unicolor grandis	Geospizopsis unicolor	NA
Phrygilus unicolor geospizopsis	Geospizopsis unicolor	NA
Spodiornis jardini	Spodiornis rusticus	NA
Paroaria gularis	Paroaria gularis	NA
Arremon aurantiirostris erythrorhynchus	Arremon aurantiirostris	NA
Arremon aurantiirostris occidentalis	Arremon aurantiirostris	NA
Arremon axillaris	Arremon taciturnus	NA
Lysurus castaneiceps	Arremon castaneiceps	NA
Atlapetes flaviceps	Atlapetes flaviceps	NA
Atlapetes fusco-olivaceus	Atlapetes fuscoolivaceus	NA
Atlapetes gutturalis gutturalis	Atlapetes albinucha	NA
Atlapetes latinuchus latinuchus	Atlapetes latinuchus	NA
Atlapetes latinuchus elaeoprorus	Atlapetes latinuchus	NA
Atlapetes albifrenatus	Atlapetes albofrenatus	NA
Atlapetes schistaceus	Atlapetes schistaceus	NA
Atlapetes pallidinuchus pallidinuchus	Atlapetes pallidinucha	NA
Atlapetes pallidinuchus papallactae	Atlapetes pallidinucha	NA
Atlapetes crassus	Atlapetes tricolor	NA
Atlapetes semirufus	Atlapetes semirufus	NA
Buarremon brunneinuchus	Arremon brunneinucha	NA
Buarremon assimilis	Arremon assimilis	NA
Buarremon atricapillus	Arremon atricapillus	NA
Coereba luteola luteola	Coereba flaveola	NA
Coereba mexicana columbiana	Coereba flaveola	NA
Coereba mexicana caucae	Coereba flaveola	NA
Diglossa sittoides similis	Diglossa sittoides	NA
Diglossa gloriosissima	Diglossa gloriosissima	NA
Diglossa brunneiventris	Diglossa brunneiventris	NA
Diglossa lafresnayei	Diglossa lafresnayii	NA
Diglossa humeralis	Diglossa humeralis	NA
Diglossa aterrima	Diglossa humeralis	NA
Diglossa albilateralis	Diglossa albilatera	NA
Diglossa personata	Diglossa cyanea	NA
Diglossa cryptorhis	Diglossa indigotica	NA
Diglossopis caerulescens caerulescens	Diglossa caerulescens	NA
Conirostrum sitticolor	Conirostrum sitticolor	NA
Conirostrum rufum	Conirostrum rufum	NA
Conirostrum fraseri	Conirostrum cinereum	NA
Conirostrum albifrons	Conirostrum albifrons	NA
Conirostrum atrocyaneum	Conirostrum albifrons	NA
Dacnis cayana cayana	Dacnis cayana	NA
Dacnis cayana coerebicolor	Dacnis cayana	NA
Dacnis angelica	Dacnis lineata	NA
Dacnis egregia egregia	Dacnis lineata	NA
Dacnis venusta fuliginata	Dacnis venusta	NA
Dacnis leucogenys	Conirostrum leucogenys	NA
Cyanerpes cyaneus pacificus	Cyanerpes cyaneus	NA
Cyanerpes caerulea microrhyncha	Cyanerpes caeruleus	NA
Chlorophanes spiza exsul	Chlorophanes spiza	NA
Chlorophanes spiza caerulescens	Chlorophanes spiza	NA
Tersina viridis occidentalis	Tersina viridis	NA
Chlorophonia pretrei	Chlorophonia pyrrhophrys	NA
Tanagra cyanocephala cyanocephala	Euphonia cyanocephala	NA
Tanagra aurea pileata	Nemosia pileata	NA
Tanagra xanthogastra chocoensis	Euphonia xanthogaster	NA
Tanmagra xanthogastra brevirostris	Euphonia xanthogaster	NA
Tanagra concinna	Euphonia concinna	NA
Tanagra saturata	Euphonia saturata	NA
Tanagra olivacea humilis	Euphonia minuta	NA
Tanagra fulvicrissa purpurascens	Euphonia fulvicrissa	NA
Tanagra fulvicrissa omissa	Euphonia fulvicrissa	NA
Tanagra crassirostris crassirostris	Euphonia laniirostris	NA
Tanagra melanura	Euphonia laniirostris	NA
Tanagra chrysopasta	Euphonia chrysopasta	NA
Chlorochrysa calliparaea bourcieri	Chlorochrysa calliparaea	NA
Chlorochrysa phoenicotis	Chlorochrysa phoenicotis	NA
Chlorochrysa nitidissima	Chlorochrysa nitidissima	NA
Pipridea melanota venezuelensis	Pipraeidea melanonota	NA
Procnopis vassori	Tangara vassorii	NA
Tangara chilensis	Tangara chilensis	NA
Tangara schrankii	Tangara schrankii	NA
Tangara johannae	Tangara johannae	NA
Tangara florida auriceps	Tangara florida	NA
Tangara guttata bogotensis	Ixothraupis guttata	NA
Tangara guttata tolimae	Ixothraupis guttata	NA
Tangara xanthogastra	Ixothraupis xanthogastra	NA
Tangara rufigula	Ixothraupis rufigula	NA
Tangara aurulenta aurulenta	Tangara arthus	NA
Tangara aurulenta occidentalis	Tangara arthus	NA
Tangara icterocephala	Tangara icterocephala	NA
Tangara vitriolina	Stilpnia vitriolina	NA
Tangara lavinia lavinia	Tangara lavinia	NA
Tangara gyroloides gyroloides	Tangara gyrola	NA
Tangara gyroloides catharinae	Tangara gyrola	NA
Tangara gyroloides bangsi	Tangara gyrola	NA
Tangara palmeri	Poecilostreptus palmeri	NA
Tangara mexicana boliviana	Tangara mexicana	NA
Tangara inornata inornata	Tangara inornata	NA
Tangara nigroviridis nigroviridis	Tangara nigroviridis	NA
Tangara larvata fanny	Stilpnia larvata	NA
Tangara cyaneicollis caeruleocephala	Stilpnia cyanicollis	NA
Tangara cyaneicollis granadensis	Stilpnia cyanicollis	NA
Tangara ruficervix ruficervix	Chalcothraupis ruficervix	NA
Tangara labradorides	Tangara labradorides	NA
Tangara melanotis	Tangara cyanotis	NA
Tangara parzudaki	Tangara parzudakii	NA
Tangara venusta	Tangara xanthocephala	NA
Tangara atricapilla	Stilpnia heinei	NA
Iridosornis dubusia dubusia	Iridosornis rufivertex	NA
Iridosornis dubusia ignicapillus	Iridosornis rufivertex	NA
Iridosornis dubusia caeruleoventris	Iridosornis rufivertex	NA
Iridosornis porphyrocephala	Iridosornis porphyrocephalus	NA
Poecilothraupis lunulata lunulata	Anisognathus igniventris	NA
Poecilothraupis palpebrosa palpebrosa	Anisognathus lacrymosus	NA
Pocilothraupis palpebrosa olivaceiceps	Anisognathus lacrymosus	NA
Buthraupis cucullata cucullata	Buthraupis montana	NA
Buthraupis cucullata gigas	Buthraupis montana	NA
Buthraupis eximia chloronota	Cnemathraupis eximia	NA
Buthraupis eximia eximia	Cnemathraupis eximia	NA
Buthraupis edwardsi	Bangsia edwardsi	NA
Buthraupis rothschildi	Bangsia rothschildi	NA
Buthraupis melanochlamys	Bangsia melanochlamys	NA
Buthraupis aureocincta	Bangsia aureocincta	NA
Compsocoma somptuosa victorini	Anisognathus somptuosus	NA
Compsocoma somptuosa antioquiae	Anisognathus somptuosus	NA
Compsocoma somptuosa cyanoptera	Anisognathus somptuosus	NA
Compsocoma notabilis	Anisognathus notabilis	NA
Dubusia taeniata	Dubusia taeniata	NA
Thraupis episcopus leucoptera	Thraupis episcopus	NA
Thraupis coelestis coelestis	Thraupis episcopus	NA
Thraupis cana cana	Thraupis episcopus	NA
Thraupis glaucocolpa	Thraupis glaucocolpa	NA
Thraupis palmarum melanoptera	Thraupis palmarum	NA
Sporathraupis cyanocephala auricrissa	Thraupis cyanocephala	NA
Ramphocelus nigrogularis	Ramphocelus nigrogularis	NA
Ramphocelus dimidiatus dimidiatus	Ramphocelus dimidiatus	NA
Ramphocelus carbo carbo	Ramphocelus carbo	NA
Ramphocelus carbo unicolor	Ramphocelus carbo	NA
Ramphocelus flammigerus	Ramphocelus flammigerus	NA
Ramphocelus chrysonotus	Ramphocelus flammigerus	NA
Ramphocelus icteronotus	Ramphocelus flammigerus	NA
Calochaetes coccineus	Calochaetes coccineus	NA
Piranga rubra rubra	Piranga rubra	NA
Piranga testacea testacea	Piranga flava	NA
Piranga leucoptera ardens	Piranga leucoptera	NA
Piranga rubriceps	Piranga rubriceps	NA
Chlorothraupis olivacea	Chlorothraupis olivacea	NA
Chlorothraupis stolzmanni	Chlorothraupis stolzmanni	NA
Phoenicothraupis cristata	Habia cristata	NA
Phoenicothraupis gutturalis	Habia gutturalis	NA
Heterospingus xanthopygius	Heterospingus xanthopygius	NA
Tachyphonus rufus	Tachyphonus rufus	NA
Tachyphonus luctuosus	Tachyphonus luctuosus	NA
Tachyphonus surinamus surinamus	Tachyphonus surinamus	NA
Tachyphonus delattrii	Tachyphonus delatrii	NA
Creurgops verticalis	Creurgops verticalis	NA
Eucometis cristata cristata	Eucometis penicillata	NA
Mitrospingus cassini	Mitrospingus cassinii	NA
Erythrothlypis salmoni	Chrysothlypis salmoni	NA
Hemithraupis peruana	Hemithraupis flavicollis	NA
Hemithraupis guira guirina	Hemithraupis guira	NA
Sericossypha albocristata	Sericossypha albocristata	NA
Chlorospingus albitempora nigriceps	Chlorospingus flavopectus	NA
Chlorospingus flavipectus	Chlorospingus flavopectus	NA
Chlorospingus canigularis	Chlorospingus canigularis	NA
Chlorospingus flavigularis flavigularis	Chlorospingus flavigularis	NA
Chlorospingus flavigularis marginatus	Chlorospingus flavigularis	NA
Chlorospingus semifuscus	Chlorospingus semifuscus	NA
Hemispingus atropileus	Kleinothraupis atropileus	NA
Hemispingus rubrirostris	Cnemoscopus rubrirostris	NA
Hemispingus superciliaris superciliaris	Thlypopsis superciliaris	NA
Hemispingus superciliaris nigrifrons	Thlypopsis superciliaris	NA
Hemispingus frontalis oleagineus	Sphenopsis frontalis	NA
Hemispingus melanotis	Sphenopsis melanotis	NA
Pseudospingus verticalis	Pseudospingus verticalis	NA
Urothraupis stolzmanni	Urothraupis stolzmanni	NA
Psittospiza riefferi riefferi	Chlorornis riefferii	NA
Oreothraupis arremonops	Oreothraupis arremonops	NA
Cissopis leveriana minor	Cissopis leverianus	NA
Schistochlamys atra	Schistochlamys melanopis	NA
Zarhynchus wagleri wagleri	Psarocolius wagleri	NA
Gymnostinops guatimozinus	Psarocolius guatimozinus	NA
Gymnostinops yuracares	Psarocolius bifasciatus	NA
Ostinops decumanus	Psarocolius decumanus	NA
Ostinops salmoni	Psarocolius angustifrons	NA
Ostinops alfredi sincipitalis	Psarocolius angustifrons	NA
Ostinops alfredi neglectus	Psarocolius angustifrons	NA
Ostinops angustifrons	Psarocolius angustifrons	NA
Cacicus cela	Cacicus cela	NA
Cacicus vitellinus	Cacicus cela	NA
Cacicus leucorhamphus	Cacicus chrysonotus	NA
Cacicus haemorrhous affinus	Cacicus haemorrhous	NA
Cacicus uropygialis uropygialis	Cacicus uropygialis	NA
Cacicus uropygialis pacificus	Cacicus uropygialis	NA
Amblycercus solitarius	Cacicus solitarius	NA
Amblycercus holosericeus flavirostris	Amblycercus holosericeus	NA
Cassidix oryzivora violea	Molothrus oryzivorus	NA
Molothrus bonariensis atronitens	Molothrus bonariensis	NA
Molothrus bonariensis cabanisi	Molothrus bonariensis	NA
Molothrus bonariensis aequatorialis	Molothrus bonariensis	NA
Agelaius icterocephalus icterocephalus	Chrysomus icterocephalus	NA
Agelaius icterocephalus bogotensis	Chrysomus icterocephalus	NA
Leistes militaris	Leistes militaris	NA
Sturnella magna meridionalis	Sturnella magna	NA
Icterus spurius	Icterus spurius	NA
Icterus auricapillus	Icterus auricapillus	NA
Icterus mesomelas salvini	Icterus mesomelas	NA
Icterus giraudi	Icterus chrysater	NA
Icterus hondae	Icterus chrysater	NA
Icterus xanthornus xanthornus	Icterus nigrogularis	NA
Megaquiscalus major assimilis	Quiscalus mexicanus	NA
Macraglaeus subalaris	Macroagelaius subalaris	NA
Hypopyrrhus pyrohypogaster	Hypopyrrhus pyrohypogaster	NA
Cyanocorax affinis affinis	Cyanocorax affinis	NA
Cyanocorax violaceus	Cyanocorax violaceus	NA
Xanthoura yncas galeatus	Cyanocorax yncas	NA
Xanthoura yncas cyanodorsalis	Cyanocorax yncas	NA
Cyanolyca armillata quindiuna	Cyanolyca armillata	NA
Cyanolyca armillata armillata	Cyanolyca armillata	NA
