Chapman	Clements	Locality.specific	Locality	Count
Xiphocolaptes promeropirhynchus	Xiphocolaptes promeropirhynchus	El Penon	El Penon	2
Xiphocolaptes promeropirhynchus	Xiphocolaptes promeropirhynchus	Subia	Subia	3
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Paramillo Trail (10000 ft)	Paramillo	1
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Las Lomitas	Lomitas	1
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	San Antonio	San Antonio	7
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Cerro Munchique	Cerro Munchique	3
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Popayan	Popayan	1
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	La Sierra	La Sierra	2
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Almaguer	Almaguer	3
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Miraflores	Miraflores	5
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Salento	Salento	3
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Laguneta	Laguneta	3
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Santa Elena	Santa Elena	2
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Rio Toche	Rio Toche	1
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	La Palma	La Palma	1
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	La Candela	La Candela	6
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Andalucia (7000 ft)	Andalucia	1
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	Aguadita	Aguadita	2
Picolaptes lacrymiger lacrymiger	Lepidocolaptes lacrymiger	El Roble	Los Robles	2
Picolaptes warscewiczi	Lepidocolaptes lacrymiger	Ricaurte	Ricaurte	1
Picolaptes albolineatus	Lepidocolaptes souleyetii	Salaqui	Salaqui	1
Picolaptes albolineatus	Lepidocolaptes souleyetii	Tumaco	Tumaco	3
Picolaptes albolineatus	Lepidocolaptes souleyetii	Barbacoas	Barbacoas	5
Picolaptes albolineatus	Lepidocolaptes souleyetii	Puerto Valdivia	Puerto Valdivia	2
Picolaptes albolineatus	Lepidocolaptes souleyetii	Rio Frio	Rio Frio	1
Picolaptes albolineatus	Lepidocolaptes souleyetii	Cali	Cali	1
Picolaptes albolineatus	Lepidocolaptes souleyetii	Honda	Honda	4
Picolaptes albolineatus	Lepidocolaptes souleyetii	Buena Vista	Buena Vista	1
Picolaptes albolineatus	Lepidocolaptes souleyetii	Villavicencio	Villavicencio	4
Campylorhamphus trochilirostris procurvoides	Campylorhamphus trochilirostris	La Morelia	La Morelia	1
Campylorhamphus trochilirostris venezuelensis	Campylorhamphus trochilirostris	Alto Bonito	Alto Bonito	1
Campylorhamphus trochilirostris venezuelensis	Campylorhamphus trochilirostris	Villavicencio	Villavicencio	1
Campylorhamphus thoracicus	Campylorhamphus trochilirostris	Buenavista	Buenavista	1
Campylorhamphus pusillus	Campylorhamphus pusillus	San Antonio	San Antonio	1
Campylorhamphus pusillus	Campylorhamphus pusillus	Cocal	Cocal	1
Campylorhamphus pusillus	Campylorhamphus pusillus	Barbacoas	Barbacoas	2
Campylorhamphus pusillus	Campylorhamphus pusillus	Miraflores	Miraflores	2
Campylorhamphus pusillus	Campylorhamphus pusillus	Fusagasuga	Fusagasuga	1
Campylorhamphus pucherani	Drymotoxeres pucheranii	Cocal	Cocal	1
Dendrocolaptes validus validus	Dendrocolaptes picumnus	Cerro Munchique	Cerro Munchique	1
Dendrocolaptes validus validus	Dendrocolaptes picumnus	Miraflores	Miraflores	1
Dendrocolaptes validus validus	Dendrocolaptes picumnus	Salento	Salento	2
Dendrocolaptes validus validus	Dendrocolaptes picumnus	La Candela	La Candela	3
Dendrocolaptes validus validus	Dendrocolaptes picumnus	Aguadita	Aguadita	1
Dendrocolaptes validus validus	Dendrocolaptes picumnus	Villavicencio	Villavicencio	1
Dendrocolaptes validus validus	Dendrocolaptes picumnus	Florencia	Florencia	1
Dendrocolaptes sancti-thomae sancti-thomae	Dendrocolaptes sanctithomae	Puerto Valdivia	Puerto Valdivia	2
Dexdrocolaptes sancti-thomae radiolatus	Dendrocolaptes certhia	Florencia	Florencia	1
Orodynastes striaticollis striaticollis	Myiotheretes striaticollis	Paramillo	Paramillo	1
Orodynastes striaticollis striaticollis	Myiotheretes striaticollis	Santa Isabel	Paramo Santa Isabel	1
Orodynastes striaticollis striaticollis	Myiotheretes striaticollis	Fomeque	Fomeque	1
Ochthodiaeta fumigata	Myiotheretes fumigatus	Andes W of Popayan (10340 ft)	Coast Range	1
Ochthodiaeta fumigata	Myiotheretes fumigatus	Almaguer	Almaguer	1
Ochthodiaeta fumigata	Myiotheretes fumigatus	Laguneta	Laguneta	5
Ochthodiaeta fumigata	Myiotheretes fumigatus	Santa Isabel	Paramo Santa Isabel	2
Ochthodiaeta fumigata	Myiotheretes fumigatus	Choachi	Choachi	3
Ochthoeca oenanthoides fumicolor	Ochthoeca oenanthoides	Choachi	Choachi	2
Ochthoeca oenanthoides fumicolor	Ochthoeca oenanthoides	Chipaque	Chipaque	12
Ochthoeca oenanthoides fumicolor	Ochthoeca oenanthoides	El Penon	El Penon	2
Ochthoeca oenanthoides fumicolor	Ochthoeca oenanthoides	Palo Hueco	Palo Hueco	1
Ochthoeca oenanthoides fumicolor	Ochthoeca oenanthoides	La Mar	La Mar	2
Ochthoeca oenanthoides fumicolor	Ochthoeca oenanthoides	La Pradera	La Pradera	1
Ochthoeca oenanthoides brunneifrons	Ochthoeca oenanthoides	Paramillo	Paramillo	17
Ochthoeca oenanthoides brunneifrons	Ochthoeca oenanthoides	Andes W of Popayan	Coast Range	1
Ochthoeca oenanthoides brunneifrons	Ochthoeca oenanthoides	Valle de las Papas	Valle de las Papas	7
Ochthoeca oenanthoides brunneifrons	Ochthoeca oenanthoides	Santa Isabel	Paramo Santa Isabel	13
Ochthoeca oenanthoides brunneifrons	Ochthoeca oenanthoides	Santa Elena	Santa Elena	4
Ochthoeca albidiedema	Ochthoeca frontalis	Tocaimito	Tocaimito	1
Ochthoeca frontalis	Ochthoeca frontalis	Santa Isabel	Paramo Santa Isabel	3
Ochthoeca lessoni	Ochthoeca rufipectoralis	Paramillo Trail (10000 ft)	Paramillo	1
Ochthoeca lessoni	Ochthoeca rufipectoralis	Andes W of Popayan	Coast Range	10
Ochthoeca lessoni	Ochthoeca rufipectoralis	Laguneta	Laguneta	15
Ochthoeca lessoni	Ochthoeca rufipectoralis	Almaguer	Almaguer	3
Ochthoeca lessoni	Ochthoeca rufipectoralis	Valle de las Papas	Valle de las Papas	1
Ochthoeca lessoni	Ochthoeca rufipectoralis	Palo Hueco, Cundinamarca	Palo Hueco	1
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	Novita Trail (6000 ft)	Novita Trail	1
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	Cerro Munchique	Cerro Munchique	3
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	Salento	Salento	1
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	Rio Toche	Rio Toche	1
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	La Palma	La Palma	4
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	Aguadita	Aguadita	2
Ochthoeca cinnamomeiventris	Ochthoeca cinnamomeiventris	Chipaque (8500 ft)	Chipaque	3
Ochthoeca gratiosa gratiosa	Ochthoeca diadema	Cerro Munchique	Cerro Munchique	2
Ochthoeca gratiosa gratiosa	Ochthoeca diadema	Andes W of Popayan	Coast Range	1
Ochthoeca gratiosa gratiosa	Ochthoeca diadema	Cocal	Cocal	3
Ochthoeca gratiosa gratiosa	Ochthoeca diadema	Almaguer	Almaguer	2
Ochthoeca gratiosa gratiosa	Ochthoeca diadema	Laguneta	Laguneta	4
Ochthoeca gratiosa gratiosa	Ochthoeca diadema	Santa Elena	Santa Elena	1
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	Paramillo	Paramillo	4
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	Andes W of Popayan	Coast Range	7
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	Valle de las Papas	Valle de las Papas	7
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	Laguneta	Laguneta	3
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	Santa Isabel	Paramo Santa Isabel	12
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	El Penon	El Penon	5
Mecocerculus leucophrys setophagoides	Mecocerculus leucophrys	Chipaque	Chipaque	13
Mecocerculus stictopterus	Mecocerculus stictopterus	Andes W of Popayan	Coast Range	3
Mecocerculus stictopterus	Mecocerculus stictopterus	Almaguer	Almaguer	5
Mecocerculus stictopterus	Mecocerculus stictopterus	Laguneta	Laguneta	4
Mecocerculus stictopterus	Mecocerculus stictopterus	Santa Isabel	Paramo Santa Isabel	1
Mecocerculus poecilocercus	Mecocerculus poecilocercus	Cerro Munchique	Cerro Munchique	2
Mecocerculus poecilocercus	Mecocerculus poecilocercus	Salento	Salento	1
Mecocerculus poecilocercus	Mecocerculus poecilocercus	El Eden	El Eden	1
Mecocerculus poecilocercus	Mecocerculus poecilocercus	Aguadita	Aguadita	1
Mecocerculus poecilocercus	Mecocerculus poecilocercus	El Roble	Los Robles	3
Ochthornis littoralis	Ochthornis littoralis	La Morelia	La Morelia	2
Fluvicola pica	Fluvicola pica	Turbaco	Turbaco	2
Fluvicola pica	Fluvicola pica	Cali	Cali	12
Fluvicola pica	Fluvicola pica	La Manuelita	La Manuelita	3
Fluvicola pica	Fluvicola pica	Rio Frio	Rio Frio	1
Fluvicola pica	Fluvicola pica	Honda	Honda	1
Fluvicola pica	Fluvicola pica	Calamar	Calamar	1
Fluvicola pica	Fluvicola pica	La Playa	La Playa	1
Arundinicola leucocephala	Arundinicola leucocephala	Turbaco	Turbaco	2
Arundinicola leucocephala	Arundinicola leucocephala	Calamar	Calamar	1
Copurus colonus fuscicapillus	Colonia colonus	Buena Vista	Buena Vista	3
Copurus colonus fuscicapillus	Colonia colonus	Villavicencio	Villavicencio	4
Copurus leuconotus	Colonia colonus	Alto Bonito	Alto Bonito	3
Copurus leuconotus	Colonia colonus	Novita	Novita	2
Copurus leuconotus	Colonia colonus	Noanama	Noanama	1
Copurus leuconotus	Colonia colonus	San Jose	San Jose	4
Copurus leuconotus	Colonia colonus	Los Cisneros	Cisneros	3
Copurus leuconotus	Colonia colonus	Cerro Munchique (6000 ft)	Cerro Munchique	2
Copurus leuconotus	Colonia colonus	Barbacoas	Barbacoas	4
Copurus leuconotus	Colonia colonus	Buenavista	Buenavista	1
Copurus leuconotus	Colonia colonus	Puerto Valdivia	Puerto Valdivia	1
Copurus leuconotus	Colonia colonus	Puerto Berrio	Puerto Berrio	1
Copurus leuconotus	Colonia colonus	Honda	Honda	5
Machetornis rixosus flavigularis	Machetornis rixosa	La Playa	La Playa	3
Machetornis rixosus flavigularis	Machetornis rixosa	Lower Magdalena	Rio Magdelena	1
Machetornis rixosus flavigularis	Machetornis rixosa	Villavicencio	Villavicencio	1
Muscisaxicola alpina columbiana	Muscisaxicola alpinus	Santa Isabel	Paramo Santa Isabel	5
Platytriccus flavigularis	Platyrinchus flavigularis	La Candela	La Candela	5
Platytriccus albogularis	Platyrinchus mystaceus	Las Lomitas	Lomitas	2
Platytriccus albogularis	Platyrinchus mystaceus	La Manuelita	La Manuelita	1
Platytriccus albogularis	Platyrinchus mystaceus	Rio Frio	Rio Frio	1
Platytriccus albogularis	Platyrinchus mystaceus	La Candela	La Candela	1
Placostomus coronatus	Platyrinchus coronatus	La Morelia	La Morelia	2
Craspedoprion aequinoctialis	Rhynchocyclus olivaceus	La Morelia	La Morelia	3
Craspedoprion aequinoctialis	Rhynchocyclus olivaceus	Florencia	Florencia	1
Craspedoprion pacificus	Rhynchocyclus pacificus	Alto Bonito	Alto Bonito	2
Craspedoprion pacificus	Rhynchocyclus pacificus	Juntas de Tamana	Juntas de Tamana	1
Craspedoprion pacificus	Rhynchocyclus pacificus	Choco	NA	1
Craspedoprion pacificus	Rhynchocyclus pacificus	Novita	Novita	1
Craspedoprion pacificus	Rhynchocyclus pacificus	Barbacoas	Barbacoas	2
Craspedoprion fulvipectus	Rhynchocyclus fulvipectus	Ricaurte	Ricaurte	3
Craspedoprion fulvipectus	Rhynchocyclus fulvipectus	Cerro Munchique (6000 ft)	Cerro Munchique	1
Craspedoprion fulvipectus	Rhynchocyclus fulvipectus	Andalucia	Andalucia	2
Craspedoprion fulvipectus	Rhynchocyclus fulvipectus	Aguadita	Aguadita	1
Rhynchocyclus sulphurescens asemus	Tolmomyias sulphurescens	Dabeiba	Dabeiba	1
Rhynchocyclus sulphurescens asemus	Tolmomyias sulphurescens	Puerto Valdivia	Puerto Valdivia	1
Rhynchocyclus sulphurescens asemus	Tolmomyias sulphurescens	Rio Frio	Rio Frio	1
Rhynchocyclus sulphurescens asemus	Tolmomyias sulphurescens	Cali	Cali	1
Rhynchocyclus sulphurescens asemus	Tolmomyias sulphurescens	Miraflores	Miraflores	1
Rhynchocyclus sulphurescens assimilis	Tolmomyias assimilis	Villavicencio	Villavicencio	2
Rhynchocyclus sulphurescens assimilis	Tolmomyias assimilis	Buena Vista	Buena Vista	2
Rhynchocyclus sulphurescens assimilis	Tolmomyias assimilis	Florencia	Florencia	1
Rhynchocyclus sulphurescens exortivus	Tolmomyias sulphurescens	Opon	Opon	1
Rhynchocyclus sulphurescens exortivus	Tolmomyias sulphurescens	Malena	Malena	1
Rhynchocyclus sulphurescens exortivus	Tolmomyias sulphurescens	Chicoral	Chicoral	1
Rhynchocyclus marginatus marginatus	Tolmomyias sulphurescens	Puerto Valdivia	Puerto Valdivia	1
Rhynchocyclus marginatus marginatus	Tolmomyias sulphurescens	Novita	Novita	1
Rhynchocyclus marginatus marginatus	Tolmomyias sulphurescens	Barbacoas	Barbacoas	1
Rhynchocyclus marginatus marginatus	Tolmomyias sulphurescens	Buenavista	Buenavista	1
Rhynchocyclus viridiceps	Tolmomyias flaviventris	Florencia	Florencia	1
Rhynchocyclus flaviventris aurulentus	Tolmomyias flaviventris	Varrud	Varrud	1
Rhynchocyclus klagesi	Tolmomyias poliocephalus	La Morelia	La Morelia	2
Rhynchocyclus klagesi	Tolmomyias poliocephalus	Florencia	Florencia	3
Todirostrum cinereum cinereum	Todirostrum cinereum	Turbaco	Turbaco	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Dabeiba	Dabeiba	5
Todirostrum cinereum cinereum	Todirostrum cinereum	Alto Bonito	Alto Bonito	3
Todirostrum cinereum cinereum	Todirostrum cinereum	Peque	Peque	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Bagado	Bagado	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Juntas de Tamana	Juntas de Tamana	1
Todirostrum cinereum cinereum	Todirostrum cinereum	San Jose	San Jose	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Caldas	Caldas	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Las Lomitas	Lomitas	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Puerto Valdivia	Puerto Valdivia	2
Todirostrum cinereum cinereum	Todirostrum cinereum	Cali	Cali	5
Todirostrum cinereum cinereum	Todirostrum cinereum	Rio Frio	Rio Frio	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Miraflores (6300 ft)	Miraflores	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Andalucia (3000 ft)	Andalucia	4
Todirostrum cinereum cinereum	Todirostrum cinereum	Fusagasuga	Fusagasuga	2
Todirostrum cinereum cinereum	Todirostrum cinereum	Chicoral	Chicoral	2
Todirostrum cinereum cinereum	Todirostrum cinereum	Honda	Honda	4
Todirostrum cinereum cinereum	Todirostrum cinereum	Malena	Malena	1
Todirostrum cinereum cinereum	Todirostrum cinereum	Calamar	Calamar	3
Todirostrum cinereum cinereum	Todirostrum cinereum	Villavicencio	Villavicencio	1
Todirostrum sclateri	Todirostrum cinereum	Tumaco	Tumaco	2
Todirostrum sclateri	Todirostrum cinereum	Barbacoas	Barbacoas	3
Todirostrum sclateri	Todirostrum cinereum	Buenavista	Buenavista	1
Todirostrum nigriceps	Todirostrum nigriceps	Malena	Malena	1
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	Los Cisneros	Cisneros	1
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	La Manuelita	La Manuelita	1
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	Rio Frio	Rio Frio	1
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	Puerto Berrio	Puerto Berrio	2
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	Honda	Honda	2
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	Chicoral	Chicoral	1
Todirostrum schistaceiceps superciliare	Poecilotriccus sylvia	Villavicencio	Villavicencio	1
Todirostrum latirostre	Poecilotriccus latirostris	Florencia	Florencia	2
Pescilotriccus ruficeps ruficeps	Poecilotriccus ruficeps	Salento	Salento	3
Pescilotriccus ruficeps ruficeps	Poecilotriccus ruficeps	Santa Elena	Santa Elena	1
Pescilotriccus ruficeps ruficeps	Poecilotriccus ruficeps	Rio Toche	Rio Toche	1
Pescilotriccus ruficeps ruficeps	Poecilotriccus ruficeps	El Eden	El Eden	6
Pcecilotriccus ruficeps rufigene	Poecilotriccus ruficeps	Cerro Munchique	Cerro Munchique	3
Pcecilotriccus ruficeps rufigene	Poecilotriccus ruficeps	La Palma	La Palma	2
Euscarthmus striaticollis zosterops	Hemitriccus zosterops	Florencia	Florencia	2
Euscarthmus granadensis	Hemitriccus granadensis	Salencio	Alban	1
Euscarthmus granadensis	Hemitriccus granadensis	Andes W of Popayan	Coast Range	2
Euscarthmus granadensis	Hemitriccus granadensis	Cocal (6000 ft)	Cocal	3
Euscarthmus granadensis	Hemitriccus granadensis	Almaguer	Almaguer	3
Euscarthmus granadensis	Hemitriccus granadensis	Laguneta	Laguneta	3
Euscarthmus granadensis	Hemitriccus granadensis	Santa Elena	Santa Elena	2
Euscarthmus septentrionalis	Hemitriccus margaritaceiventer	Honda	Honda	2
Pseudotriccus pelzelni pelzelni	Pseudotriccus pelzelni	Buena Vista	Buena Vista	1
Pseudotriccus annectens	Pseudotriccus pelzelni	Cerro Munchique	Cerro Munchique	2
Pseudotriccus annectens	Pseudotriccus pelzelni	Cocal	Cocal	2
Caenotriccus ruficeps ruficeps	Pseudotriccus ruficeps	Cocal (6000 ft)	Cocal	3
Caenotriccus ruficeps ruficeps	Pseudotriccus ruficeps	Andes W of Popayan	Coast Range	5
Caenotriccus ruficeps ruficeps	Pseudotriccus ruficeps	Almaguer	Almaguer	1
Caenotriccus ruficeps ruficeps	Pseudotriccus ruficeps	above Salento (9000 ft)	Salento	1
Caenotriccus ruficeps ruficeps	Pseudotriccus ruficeps	Salento	Salento	2
Caenotriccus ruficeps ruficeps	Pseudotriccus ruficeps	Santa Isabel	Paramo Santa Isabel	1
Lophotriccus spicifer	Lophotriccus vitiosus	La Morelia	La Morelia	1
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	La Frijolera	La Frijolera	1
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	Salencio	Alban	2
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	Las Lomitas	Lomitas	5
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	San Antonio	San Antonio	1
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	Miraflores	Miraflores	2
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	La Candela	La Candela	1
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	San Agustin (near)	San Agustin	1
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	Fusagasuga	Fusagasuga	1
Lophotriccus squamaecristatus squamaecristatus	Lophotriccus pileatus	Buena Vista	Buena Vista	4
Lophotriccus squamaecristatus minor	Lophotriccus pileatus	Ricaurte	Ricaurte	1
Lophotriccus squamaecristatus minor	Lophotriccus pileatus	Barbacoas	Barbacoas	2
Orchilus atricapillus	Myiornis atricapillus	Alto Bonito	Alto Bonito	1
Orchilus atricapillus	Myiornis atricapillus	Novita	Novita	1
Orchilus atricapillus	Myiornis atricapillus	San Jose	San Jose	1
Orchilus atricapillus	Myiornis atricapillus	Barbacoas	Barbacoas	1
Atalotriccus pilaris pilaris	Atalotriccus pilaris	La Playa	La Playa	1
Atalotriccus pilaris pilaris	Atalotriccus pilaris	Honda	Honda	2
Atalotriccus pilaris pilaris	Atalotriccus pilaris	Chicoral	Chicoral	1
Hapalocercus meloryphus	Euscarthmus meloryphus	Chicoral	Chicoral	1
Hapalocercus acutipennis	Pseudocolopteryx acutipennis	Salento	Salento	1
Habrura pectoralis bogotensis	Polystictus pectoralis	Bogota (savanna)	Bogota	1
Pogonotriccus poecilotis	Phylloscartes poecilotis	San Antonio	San Antonio	2
Pogonotriccus poecilotis	Phylloscartes poecilotis	Cerro Munchique	Cerro Munchique	2
Pogonotriccus poecilotis	Phylloscartes poecilotis	Miraflores	Miraflores	1
Pogonotriccus poecilotis	Phylloscartes poecilotis	Salento	Salento	3
Pogonotriccus poecilotis	Phylloscartes poecilotis	Rio Toche	Rio Toche	1
Pogonotriccus poecilotis	Phylloscartes poecilotis	La Candela	La Candela	2
Pogonotriccus poecilotis	Phylloscartes poecilotis	Aguadita	Aguadita	1
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	Salencio	Alban	1
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	Las Lomitas	Lomitas	3
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	San Antonio	San Antonio	1
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	Cerro Munchique	Cerro Munchique	1
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	Gallera	Gallera	3
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	Salento	Salento	2
Pogonotriccus opthalmicus	Phylloscartes ophthalmicus	Rio Toche	Rio Toche	1
Oreotriccus plumbeiceps	Poecilotriccus plumbeiceps	Las Lomitas	Lomitas	1
Oreotriccus plumbeiceps	Poecilotriccus plumbeiceps	San Antonio	San Antonio	1
Oreotriccus plumbeiceps	Poecilotriccus plumbeiceps	Gallera	Gallera	1
Oreotriccus plumbeiceps	Poecilotriccus plumbeiceps	Miraflores	Miraflores	1
Oreotriccus plumbeiceps	Poecilotriccus plumbeiceps	Salento	Salento	1
Oreotriccus plumbeiceps	Poecilotriccus plumbeiceps	La Candela	La Candela	2
Serpophaga cinerea cana	Serpophaga cinerea	San Jose	San Jose	2
Serpophaga cinerea cana	Serpophaga cinerea	Caldas	Caldas	2
Serpophaga cinerea cana	Serpophaga cinerea	Ricaurte	Ricaurte	1
Serpophaga cinerea cana	Serpophaga cinerea	Miraflores	Miraflores	1
Serpophaga cinerea cana	Serpophaga cinerea	Salento	Salento	5
Serpophaga cinerea cana	Serpophaga cinerea	Rio Toche	Rio Toche	3
Serpophaga cinerea cana	Serpophaga cinerea	Andalucia (3000 ft)	Andalucia	6
Serpophaga cinerea cana	Serpophaga cinerea	San Agustin (near)	San Agustin	2
Serpophaga cinerea cana	Serpophaga cinerea	Aguadita	Aguadita	2
Serpophaga cinerea cana	Serpophaga cinerea	Quetame	Quetame	2
Inezia caudata intermedia	Inezia caudata	Algodonal	Algodonal	1
Anaeretes parulus aequatorialis	Anairetes parulus	La Sierra	La Sierra	1
Anaeretes parulus aequatorialis	Anairetes parulus	Valle de las Papas	Valle de las Papas	2
Anaeretes agilis	Uromyias agilis	Valle de las Papas	Valle de las Papas	1
Anaeretes agilis	Uromyias agilis	Choachi	Choachi	1
Mionectes striaticollis poliocephalus	Mionectes striaticollis	San Antonio	San Antonio	1
Mionectes striaticollis poliocephalus	Mionectes striaticollis	Cerro Munchique	Cerro Munchique	1
Mionectes striaticollis poliocephalus	Mionectes striaticollis	La Manuelita	La Manuelita	1
Mionectes striaticollis poliocephalus	Mionectes striaticollis	Salento	Salento	2
Mionectes striaticollis poliocephalus	Mionectes striaticollis	Santa Elena	Santa Elena	1
Mionectes striaticollis poliocephalus	Mionectes striaticollis	La Candela	La Candela	4
Mionectes striaticollis poliocephalus	Mionectes striaticollis	San Agustin (near)	San Agustin	1
Mionectes striaticollis poliocephalus	Mionectes striaticollis	Fusagasuga	Fusagasuga	2
Mionectes olivaceus hederaceus	Mionectes olivaceus	Novita Trail (1800 ft)	Novita Trail	1
Mionectes olivaceus hederaceus	Mionectes olivaceus	Juntas de Tamana	Juntas de Tamana	1
Mionectes olivaceus hederaceus	Mionectes olivaceus	San Jose	San Jose	2
Mionectes olivaceus hederaceus	Mionectes olivaceus	Los Cisneros	Cisneros	1
Mionectes olivaceus hederaceus	Mionectes olivaceus	Las Lomitas	Lomitas	1
Mionectes olivaceus hederaceus	Mionectes olivaceus	Cocal	Cocal	1
Mionectes olivaceus hederaceus	Mionectes olivaceus	Barbacoas	Barbacoas	5
Mionectes olivaceus hederaceus	Mionectes olivaceus	Puerto Valdivia	Puerto Valdivia	1
Mionectes olivaceus pallidus	Mionectes olivaceus	Buena Vista	Buena Vista	2
Pipromorpha oleaginea oleaginea	Mionectes oleagineus	Villavicencio	Villavicencio	2
Pipromorpha oleaginea oleaginea	Mionectes oleagineus	Florencia	Florencia	2
Pipromorpha oleaginea parca	Mionectes oleagineus	Puerto Valdivia	Puerto Valdivia	2
Pipromorpha oleaginea parca	Mionectes oleagineus	Honda	Honda	1
Pipromorpha oleaginea parca	Mionectes oleagineus	Chicoral	Chicoral	2
Pipromorpha oleaginea parca	Mionectes oleagineus	Andalucia	Andalucia	1
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	Alto Bonito	Alto Bonito	1
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	Dabeiba	Dabeiba	2
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	Peque	Peque	1
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	Cocal	Cocal	1
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	Miraflores	Miraflores	2
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	Buena Vista	Buena Vista	2
Leptopogon superciliaris poliocephalus	Leptopogon superciliaris	Villavicencio	Villavicencio	2
Leptopogon amaurocephalus	Leptopogon amaurocephalus	Chicoral	Chicoral	1
Leptopogon amaurocephalus	Leptopogon amaurocephalus	Villavicencio	Villavicencio	1
Leptopogon erythrops	Leptopogon rufipectus	Salento	Salento	3
Leptopogon erythrops	Leptopogon rufipectus	Santa Elena	Santa Elena	2
Leptopogon erythrops	Leptopogon rufipectus	La Palma	La Palma	6
Leptopogon erythrops	Leptopogon rufipectus	La Candela	La Candela	3
Leptopogon erythrops	Leptopogon rufipectus	Aguadita (above Fusugasuga)	Aguadita	4
Capsiempis flaveola leucophrys	Capsiempis flaveola	Chicoral	Chicoral	2
Phyllomyias griseiceps griseiceps	Phyllomyias griseiceps	Bogota (region)	Bogota	1
Phyllomyias griseiceps caucae	Phyllomyias griseiceps	Miraflores	Miraflores	2
Acrochordopus zeledoni	Phyllomyias burmeisteri	Buena Vista	Buena Vista	1
Phaeomyias murina incomta	Phaeomyias murina	Cisneros	Cisneros	1
Phaeomyias murina incomta	Phaeomyias murina	Cali	Cali	5
Phaeomyias murina incomta	Phaeomyias murina	Calamar	Calamar	2
