Chapman	Clements	Locality.specific	Locality	Count
Oreopeleia bourcieri	Zentrygon frenata	Cocal	Cocal	1
Oreopeleia bourcieri	Zentrygon frenata	Cerro Munchique	Cerro Munchique	1
Oreopeleia bourcieri	Zentrygon frenata	Gallera	Gallera	1
Oreopeleia bourcieri	Zentrygon frenata	Almaguer	Almaguer	1
Oreopeleia bourcieri	Zentrygon frenata	Miraflores	Miraflores	1
Oreopeleia bourcieri	Zentrygon frenata	El Roble	Los Robles	1
Oreopeleia bourcieri	Zentrygon frenata	Laguneta	Laguneta	1
Oreopeleia bourcieri	Zentrygon frenata	La Candela	La Candela	4
Oreopeleia linearis linearis	Zentrygon linearis	Puerto Valdivia	Puerto Valdivia	1
Oreopeleia linearis linearis	Zentrygon linearis	Andalucia (5000 - 7000 ft)	Andalucia	3
Oreopeleia linearis linearis	Zentrygon linearis	Fusagasuga	Fusagasuga	1
Oreopeleia linearis linearis	Zentrygon linearis	Buena Vista	Buena Vista	3
Opisthocomus hoazin	Opisthocomus hoazin	Florencia	Florencia	6
Opisthocomus hoazin	Opisthocomus hoazin	Villavicencio	Villavicencio	3
Opisthocomus hoazin	Opisthocomus hoazin	Barrigon	Barrigon	1
Rallus semiplumbeus	Rallus semiplumbeus	Bogota (savanna)	Bogota	4
Pardirallus nigricans nigricans	Pardirallus nigricans	La Manuelita	La Manuelita	2
Pardirallus nigricans nigricans	Pardirallus nigricans	Rio Frio	Rio Frio	2
Aramides cajanea cajanea	Aramides cajaneus	Atrato River	Rio Atrato	3
Aramides cajanea cajanea	Aramides cajaneus	Salaqui	Salaqui	1
Aramides cajanea cajanea	Aramides cajaneus	Rio Frio	Rio Frio	1
Aramides cajanea cajanea	Aramides cajaneus	Honda	Honda	2
Aramides cajanea cajanea	Aramides cajaneus	Buena Vista	Buena Vista	1
Aramides cajanea cajanea	Aramides cajaneus	Florencia	Florencia	2
Amaurolimnas concolor guatemalensis	Amaurolimnas concolor	Barbacoas	Barbacoas	1
Anurolimnas castaneiceps	Anurolimnas castaneiceps	La Morelia	La Morelia	1
Anurolimnas hauxwelli	Anurolimnas fasciatus	La Morelia	La Morelia	2
Porzana carolina	Porzana carolina	Bogota (savanna)	Bogota	1
Porzana flaviventris	Hapalocrex flaviventer	Cali	Cali	2
Creciscus aenops	Laterallus albigularis	La Morelia	La Morelia	1
Creciscus albigularis	Laterallus albigularis	San Antonio	San Antonio	1
Creciscus albigularis	Laterallus albigularis	Barbacoas	Barbacoas	3
Neocrex colombianus	Mustelirallus colombianus	Barbacoas	Barbacoas	3
Gallinula chloropus pauxilla	Gallinula chloropus	Cali	Cali	8
Porphyriops melanops bogotensis	Porphyriops melanops	Bogota (savanna)	Bogota	5
Porphyriops melanops bogotensis	Porphyriops melanops	Anolaima	Anolaima	4
Ionornis martinicus	Porphyrio martinica	Atrato River	Rio Atrato	2
Ionornis martinicus	Porphyrio martinica	Rio Sinu	Rio Sinu	1
Ionornis martinicus	Porphyrio martinica	Turbaco	Turbaco	1
Ionornis martinicus	Porphyrio martinica	Florencia	Florencia	1
Fulica americana columbiana	Fulica americana	La Hererra	La Hererra	12
Fulica americana columbiana	Fulica americana	La Olanda	La Holanda	1
Heliornis fulica	Heliornis fulica	Barbacoas	Barbacoas	1
Colymbus dominicus brachyrhynchus	Tachybaptus dominicus	Cali	Cali	1
Colymbus dominicus brachyrhynchus	Tachybaptus dominicus	Popayan	Popayan	1
Podilymbus podiceps	Podilymbus podiceps	Cali	Cali	2
Podilymbus podiceps	Podilymbus podiceps	La Hererra	La Hererra	1
Phaetusa chloropoda	Phaetusa simplex	La Playa	La Playa	1
Belonopterus cayennensis	Vanellus chilensis	Atrato River	Rio Atrato	2
Belonopterus cayennensis	Vanellus chilensis	Caldas	Caldas	1
Belonopterus cayennensis	Vanellus chilensis	Las Lomitas	Lomitas	2
Belonopterus cayennensis	Vanellus chilensis	San Antonio	San Antonio	4
Belonopterus cayennensis	Vanellus chilensis	Cali	Cali	3
Belonopterus cayennensis	Vanellus chilensis	La Manuelita	La Manuelita	2
Belonopterus cayennensis	Vanellus chilensis	El Roble	Los Robles	1
Belonopterus cayennensis	Vanellus chilensis	Salento	Salento	3
Belonopterus cayennensis	Vanellus chilensis	Puerto Berrio	Puerto Berrio	1
Belonopterus cayennensis	Vanellus chilensis	Barrigon	Barrigon	3
Charadrius dominicus dominicus	Pluvialis dominica	Buenavista	Buenavista	1
Charadrius dominicus dominicus	Pluvialis dominica	Cali	Cali	1
Aegialitis semipalmata	Charadrius semipalmatus	Tumaco	Tumaco	1
Aegialitis collaris	Charadrius collaris	Cali	Cali	5
Aegialitis collaris	Charadrius collaris	La Morelia	La Morelia	2
Himantopus mexicanus	Himantopus mexicanus	Cali	Cali	2
Totanus melanoleucus	Tringa melanoleuca	Cali	Cali	1
Totanus flavipes	Tringa flavipes	Quibdo	Quibdo	2
Totanus flavipes	Tringa flavipes	Barbacoas	Barbacoas	1
Totanus flavipes	Tringa flavipes	La Manuelita	La Manuelita	1
Helodromas solitarius solitarius	Tringa solitaria	Quibdo	Quibdo	1
Helodromas solitarius solitarius	Tringa solitaria	Novita	Novita	1
Helodromas solitarius solitarius	Tringa solitaria	Buenavista	Buenavista	1
Helodromas solitarius solitarius	Tringa solitaria	San Antonio	San Antonio	1
Helodromas solitarius solitarius	Tringa solitaria	Cali	Cali	1
Helodromas solitarius solitarius	Tringa solitaria	La Manuelita	La Manuelita	2
Helodromas solitarius solitarius	Tringa solitaria	San Agustin	San Agustin	1
Helodromas solitarius solitarius	Tringa solitaria	Puerto Berrio	Puerto Berrio	1
Helodromas solitarius solitarius	Tringa solitaria	Barro Blanco	Barro Blanco	1
Actitis macularia	Actitis macularius	Dabeiba	Dabeiba	1
Actitis macularia	Actitis macularius	Novita	Novita	1
Actitis macularia	Actitis macularius	San Jose	San Jose	1
Actitis macularia	Actitis macularius	Barbacoas	Barbacoas	5
Actitis macularia	Actitis macularius	Caldas	Caldas	1
Actitis macularia	Actitis macularius	Cali	Cali	1
Actitis macularia	Actitis macularius	Salento	Salento	1
Actitis macularia	Actitis macularius	Honda	Honda	1
Tringa minutilla	Calidris minutilla	Quibdo	Quibdo	3
Tringa minutilla	Calidris minutilla	Juntas de Tamana	Juntas de Tamana	1
Tringa minutilla	Calidris minutilla	Novita	Novita	1
Tringa minutilla	Calidris minutilla	Cali	Cali	2
Tringa minutilla	Calidris minutilla	Palmira	Palmira	1
Tringa minutilla	Calidris minutilla	Rio Frio	Rio Frio	1
Pisobia maculata	Calidris melanotos	Quibdo	Quibdo	3
Gallinago delicata	Gallinago delicata	Novita	Novita	1
Gallinago delicata	Gallinago delicata	Puerto Berrio	Puerto Berrio	2
Gallinago braziliensis	Gallinago paraguaiae	Villavicencio	Villavicencio	3
Gallinago nobilis	Gallinago nobilis	Santa Isabel (12700 ft)	Santa Isabel	2
Gallinago nobilis	Gallinago nobilis	Valle de las Papas	Valle de las Papas	3
Gallinago nobilis	Gallinago nobilis	Chipaque (10000 ft)	Chipaque	1
Gallinago jamesoni	Gallinago jamesoni	Santa Isabel (12700 ft)	Santa Isabel	11
Jacana spinosa	Jacana jacana	La Morelia	La Morelia	1
Jacana melanopygia	Jacana jacana	Cali	Cali	10
Jacana melanopygia	Jacana jacana	Rio Frio	Rio Frio	1
Jacana nigra	Jacana jacana	Puerto Berrio	Puerto Berrio	2
Jacana nigra	Jacana jacana	Calamar	Calamar	2
Jacana nigra	Jacana jacana	Barranquilla	Barranquilla	2
Jacana nigra	Jacana jacana	La Playa	La Playa	8
Jacana nigra	Jacana jacana	Santa Marta	Santa Marta	2
Jacana nigra	Jacana jacana	Panama R R	Pacho	1
Burhinus bistriatus	Burhinus bistriatus	Barranquilla	Barranquilla	1
Eurypyga major	Eurypyga helias	Salaqui	Salaqui	1
Psophia napensis	Psophia crepitans	La Morelia	La Morelia	1
Theristicus caudatus	Theristicus caudatus	La Manuelita	La Manuelita	1
Theristicus caudatus	Theristicus caudatus	Barrigon	Barrigon	1
Harpiprion cayennensis	Mesembrinibis cayennensis	Atrato River	Rio Atrato	1
Harpiprion cayennensis	Mesembrinibis cayennensis	Malena	Malena	1
Harpiprion cayennensis	Mesembrinibis cayennensis	Villavicencio	Villavicencio	2
Phimosus berlepschi	Phimosus infuscatus	Barranquilla	Barranquilla	1
Ajaia ajaja	Platalea ajaja	Cali	Cali	1
Jabiru mycteria	Jabiru mycteria	Rio San Jorge	Rio San Jorge	6
Ardea cocoi	Ardea cocoi	Malena	Malena	1
Ardea cocoi	Ardea cocoi	Villavicencio	Villavicencio	1
Herodias egretta	Ardea alba	La Morelia	La Morelia	1
Florida caerulea	Egretta caerulea	Noanama	Noanama	1
