Name	Locality	Count
Geranoaetus albicaudatus	Barrigon	1
Geranoaetus polyosoma	Paramo Santa Isabel	1
Buteo platypterus	Juntas de Tamana	1
Buteo platypterus	Puerto Valdivia	3
Buteo platypterus	La Frijolera	2
Buteo platypterus	San Antonio	7
Buteo platypterus	Santa Elena	3
Buteo platypterus	Rio Toche	2
Buteo platypterus	Fusagasuga	1
Buteo platypterus	Villavicencio	1
Buteo brachyurus	Laguneta	1
Buteo nitidus	Remolino	2
Buteo nitidus	Villavicencio	1
Buteo nitidus	Barrigon	1
Rupornis magnirostris	Rio Atrato	1
Rupornis magnirostris	Dabeiba	1
Rupornis magnirostris	Barbacoas	1
Rupornis magnirostris	Puerto Valdivia	1
Rupornis magnirostris	Santa Elena	1
Rupornis magnirostris	Barro Blanco	2
Rupornis magnirostris	La Palma	1
Rupornis magnirostris	Chicoral	2
Rupornis magnirostris	W of Honda	3
Rupornis magnirostris	Villavicencio	3
Rupornis magnirostris	Florida	1
Rupornis magnirostris	Noanama	1
Rupornis magnirostris	Lomitas	1
Rupornis magnirostris	Cali	3
Rupornis magnirostris	Guengue	2
Rupornis magnirostris	Popayan	1
Rupornis magnirostris	La Manuelita	2
Rupornis magnirostris	Miraflores	1
Rupornis magnirostris	Rio Frio	1
Rupornis magnirostris	Salento	5
Busarellus nigricollis	Rio Atrato	2
Busarellus nigricollis	Calamar	1
Buteogallus urubitinga	Salaqui	1
Buteogallus urubitinga	Rio Atrato	1
Buteogallus urubitinga	Rio Monguido	1
Buteogallus schistaceus	Barrigon	1
Cryptoleucopteryx plumbea	Bagado	1
Cryptoleucopteryx plumbea	Barbacoas	1
Leucopternis semiplumbeus	Bagado	1
Leucopternis semiplumbeus	Cisneros	1
Spizaetus isidori	Paramillo	1
Spizaetus ornatus	Rio Atrato	1
Spizaetus ornatus	Puerto Valdivia	1
Spizaetus ornatus	La Morelia	1
Spizaetus tyrannus	Puerto Valdivia	1
Herpetotheres cachinnans	Rio Frio	1
Herpetotheres cachinnans	Honda	2
Herpetotheres cachinnans	Villavicencio	1
Herpetotheres cachinnans	Barrigon	1
Herpetotheres cachinnans	Alto Bonito	1
Herpetotheres cachinnans	San Jose	2
Herpetotheres cachinnans	Barbacoas	1
Elanoides forficatus	Noanama	1
Elanoides forficatus	San Antonio	1
Elanoides forficatus	Laguneta	1
Elanoides forficatus	Andalucia	1
Elanoides forficatus	Florencia	1
Rostrhamus sociabilis	Barranquilla	2
Chondrohierax uncinatus	Rio Frio	1
Leptodon cayanensis	Baudo	1
Harpagus bidentatus	Dabeiba	2
Harpagus bidentatus	Bagado	2
Harpagus bidentatus	Cisneros	1
Harpagus bidentatus	Puerto Valdivia	4
Ictinia plumbea	Cali	2
Ictinia plumbea	Villavicencio	2
Falco femoralis	Cali	1
Falco rufigularis	La Manuelita	1
Falco rufigularis	La Palma	1
Falco rufigularis	La Candela	1
Falco rufigularis	Honda	1
Falco rufigularis	Florencia	3
Falco sparverius	Cali	1
Falco sparverius	Popayan	1
Falco sparverius	La Florida	1
Falco sparverius	La Manuelita	2
Falco sparverius	Miraflores	2
Falco sparverius	Laguneta	1
Falco sparverius	La Frijolera	1
Falco sparverius	Barro Blanco	1
Falco sparverius	Rio Toche	1
Falco sparverius	Honda	5
Falco sparverius	Andalucia	6
Falco sparverius	Fusagasuga	2
Falco sparverius	El Penon	1
Falco sparverius	La Hererra	2
Falco sparverius	La Holanda	7
Falco sparverius	NA	1
Falco sparverius	Anolaima	1
Falco sparverius	Caqueza	1
Falco sparverius	Villavicencio	1
Falco sparverius	Barrigon	1
Falco sparverius	Turbaco	2
Falco sparverius	Noanama	1
Asio flammeus	Bogota	3
Asio stygius	Santa Elena	1
Asio stygius	Laguneta	1
Asio stygius	La Holanda	1
Megascops choliba	Dabeiba	1
Megascops choliba	Anolaima	3
Megascops choliba	Villavicencio	1
Megascops watsonii	La Morelia	2
Lophostrix cristata	Barbacoas	3
Ciccaba albitarsis	Anolaima	1
Megascops albogularis	Santa Elena	1
Megascops albogularis	Choachi	3
Ciccaba virgata	La Frijolera	1
Ciccaba virgata	Cali	1
Ciccaba virgata	Rio Frio	2
Ciccaba virgata	Icononzo	1
Ciccaba nigrolineata	Rio Atrato	1
Ciccaba nigrolineata	Rio Frio	1
Ciccaba nigrolineata	Bogota	1
Glaucidium brasilianum	Florencia	1
Glaucidium brasilianum	La Playa	1
Glaucidium jardinii	Choachi	1
Tyto alba	Miraflores	1
Tyto alba	Anolaima	1
Ara ararauna	Puerto Nino	5
Ara ararauna	NA	1
Ara ararauna	Malena	1
Ara ararauna	La Morelia	2
Ara macao	Algodonal	1
Ara macao	La Morelia	1
Ara chloropterus	Puerto Valdivia	1
Ara militaris	Cisneros	1
Ara militaris	Alban	1
Ara severus	Cali	2
Ara severus	La Manuelita	6
Ara severus	Guengue	1
Ara severus	Rio Frio	3
Ara severus	Salento	2
Ara severus	Malena	1
Ara severus	Barrigon	5
Ara severus	La Morelia	2
Psittacara wagleri	Alto Bonito	1
Psittacara wagleri	Cisneros	1
Psittacara wagleri	San Antonio	5
Psittacara wagleri	Cali	1
Psittacara wagleri	La Manuelita	3
Psittacara wagleri	Miraflores	1
