dynamicproperties	catalognumber	recordnumber	recordedby	sex	lifestage	reproductivecondition	preparations	occurrenceremarks	fieldnumber	eventdate	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	eventremarks	country	countrycode	stateprovince	locality	decimallatitude	decimallongitude	georeferenceddate	scientificname	class	order	family	genus	specificepithet	infraspecificepithet	underivedlifestage	underivedsex
	13658		Unknown	female			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Rhodinocichla rosea	Aves	Passeriformes	Thraupidae	Rhodinocichla	rosea			female
	16954		Unknown	male			study skin	From the collection of Frank S Wright.		1902-05-07	127	127	1902	5	7	1902-05-07		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Myioborus ornatus	Aves	Passeriformes	Parulidae	Myioborus	ornatus			male
	5162		H. Whitely	male			study skin	From the collection of Frank S. Wright.  Number 2546 is recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Heliangelus amethysticollis clarisse	Aves	Apodiformes	Trochilidae	Heliangelus	amethysticollis	clarisse		male
	4732		Unknown	female			study skin	From the collection of Frank S. Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Chalybura buffonii	Aves	Apodiformes	Trochilidae	Chalybura	buffonii			female
	5254		Unknown	male			study skin	From the collection of Frank S. Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Lesbia victoriae victoriae	Aves	Apodiformes	Trochilidae	Lesbia	victoriae	victoriae		male
	7290		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Pachyramphus versicolor versicolor	Aves	Passeriformes	Cotingidae	Pachyramphus	versicolor	versicolor		male
	7383		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Pipra isidorei isidorei	Aves	Passeriformes	Pipridae	Pipra	isidorei	isidorei		male
	13984		Unknown	male			study skin			1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Polioptila plumbea anteocularis	Aves	Passeriformes	Polioptilidae	Polioptila	plumbea	anteocularis		male
	15782		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Vireo gilvus	Aves	Passeriformes	Vireonidae	Vireo	gilvus			male
	18060		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Cacicus leucoramphus	Aves	Passeriformes	Icteridae	Cacicus	leucoramphus			male
	19063		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Atlapetes semirufus	Aves	Passeriformes	Emberizidae	Atlapetes	semirufus			male
	4455		Unknown	male			study skin	From the collection of Frank S. Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Eutoxeres aquila	Aves	Apodiformes	Trochilidae	Eutoxeres	aquila			male
	4525		Unknown	male	immature		study skin	From the collection of Frank S. Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Lepidopyga goudoti	Aves	Apodiformes	Trochilidae	Lepidopyga	goudoti		immature	male
