Name.Verb	Subspecies	Name.Clem	Localities
Diglossa lafresnayii		Diglossa lafresnayii	Chipaque-1; Tocaimito-1
Diglossa sittoides		Diglossa sittoides	Tocaimito-1
Discosura conversii	conversii	Discosura conversii	
Discosura conversii		Discosura conversii	
Discosura langsdorffi		Discosura langsdorffi	
Doryfera johannae		Doryfera johannae	
Drymophila caudata	caudata	Drymophila striaticeps	Miraflores-2
Dryocopus lineatus	nuperus	Dryocopus lineatus	Cali-2; Palmira-1
Dryocopus lineatus		Dryocopus lineatus	Cali-2; Palmira-1
Dubusia taeniata		Dubusia taeniata	El Penon-1; Fusagasuga-1
Dysithamnus mentalis	extremus	Dysithamnus mentalis	Buena Vista-4; San Antonio-3
Dysithamnus mentalis	olivaceus	Dysithamnus mentalis	Buena Vista-4; San Antonio-3
Dysithamnus plumbeus	leucostictus	Dysithamnus plumbeus	Buena Vista-1
Elaenia chiriquensis	albivertex	Elaenia chiriquensis	Monteredondo-1
Elanoides forficatus		Elanoides forficatus	
Emberizoides herbicola	sphenurus	Emberizoides herbicola	Cali-1; Quetame-1
Ensifera ensifera		Ensifera ensifera	-1
Eremophila alpestris	peregrina	Eremophila alpestris	Bogota-1
Eriocnemis alinae		Eriocnemis aline	Choachi-1
Eriocnemis cupreoventris		Eriocnemis cupreoventris	Choachi-2; Fomeque-1
Eriocnemis derbyi	longirostris	Eriocnemis derbyi	Laguneta-1
Eriocnemis vestitus	vestitus	Eriocnemis vestita	-1; Fomeque-1; Tocaimito-2
Eubucco bourcierii		Eubucco bourcierii	
Eubucco richardsoni	granadensis	Eubucco richardsoni	
Eucometis penicillata		Eucometis penicillata	Honda-2; Palmira-1
Euphonia concinna		Euphonia concinna	
Euphonia laniirostris	crassirostris	Euphonia laniirostris	Puerto Berrio-2
Euphonia laniirostris		Euphonia laniirostris	Puerto Berrio-2
Euphonia musica	intermedia	Euphonia musica	Buena Vista-1; Choachi-1
Euphonia saturata		Euphonia saturata	
Euphonia xanthogaster	brevirostris	Euphonia xanthogaster	Buena Vista-3
Eutoxeres aquila		Eutoxeres aquila	
Falco femoralis	fusco-caerulescens	Falco femoralis	Cali-3
Falco femoralis		Falco femoralis	Cali-3
Falco rufigularis		Falco rufigularis	
Falco sparverius	caucae	Falco sparverius	Aguadita-2; Caqueza-1; El Penon-1; San Antonio-1
Falco sparverius	intermedius	Falco sparverius	Aguadita-2; Caqueza-1; El Penon-1; San Antonio-1
Florisuga mellivora		Florisuga mellivora	Miraflores-1
Fluvicola pica	pica	Fluvicola pica	Cali-2
Fluvicola pica		Fluvicola pica	Cali-2
Formicarius analis	saturatus	Formicarius analis	Puerto Berrio-1
Formicarius rufipectus	carrikeri	Formicarius rufipectus	Miraflores-2
Formicivora grisea	intermedia	Formicivora grisea	
Formicivora grisea	hondae	Formicivora grisea	
Forpus conspicillatus	caucae	Forpus conspicillatus	Miraflores-3; Palmira-1; Puerto Berrio-1
Forpus conspicillatus	conspicillatus	Forpus conspicillatus	Miraflores-3; Palmira-1; Puerto Berrio-1
Forpus conspicillatus		Forpus conspicillatus	Miraflores-3; Palmira-1; Puerto Berrio-1
Forpus passerinus	spengeli	Forpus passerinus	Calamar-1
Furnarius leucopus	longirostris	Furnarius leucopus	Gamarra-1; Puerto Berrio-1
Galbula ruficauda	ruficauda	Galbula ruficauda	Calamar-2; Chicoral-1; Puerto Berrio-1
Galbula ruficauda	pallens	Galbula ruficauda	Calamar-2; Chicoral-1; Puerto Berrio-1
Galbula tombacea	tombacea	Galbula tombacea	Villavicencio-2
Geothlypis aequinoctialis		Geothlypis aequinoctialis	Villavicencio-1
Grallaria hypoleuca	hypoleuca	Grallaria hypoleuca	Fusagasuga-2
Grallaria ruficapilla	ruficapilla	Grallaria ruficapilla	Fusagasuga-1; Los Robles-1; Miraflores-1
Grallaria squamigera	squamigera	Grallaria squamigera	
Habia cristata		Habia cristata	
Hapalopsittaca amazonina	amazonina	Hapalopsittaca amazonina	Los Robles-1
Haplophaedia aureliae	aureliae	Haplophaedia aureliae	Miraflores-2; San Antonio-1
Haplophaedia aureliae	caucensis	Haplophaedia aureliae	Miraflores-2; San Antonio-1
Harpagus bidentatus		Harpagus bidentatus	Villavicencio-1
Heliangelus amethysticollis	clarisse	Heliangelus amethysticollis	Choachi-1
Heliangelus exortis		Heliangelus exortis	Aguadita-1; El Eden-1; El Penon-1; Fusagasuga-1; Los Robles-1; Rio Caqueta-1; Rio Toche-1
Heliodoxa leadbeateri	leadbeateri	Heliodoxa leadbeateri	Buena Vista-1
Heliodoxa rubinoides		Heliodoxa rubinoides	Anolaima-1
Heliodoxa rubinoides	rubinoides	Heliodoxa rubinoides	Anolaima-1
Heliomaster longirostris	longirostris	Heliomaster longirostris	_Icononzo-1
Hemithraupis flavicollis		Hemithraupis flavicollis	
Hemitriccus granadensis		Hemitriccus granadensis	Miraflores-1
Henicorhina leucophrys	leucophrys	Henicorhina leucophrys	Fusagasuga-1; Miraflores-2
Henicorhina leucosticta		Henicorhina leucosticta	
Heterospingus xanthopygius		Heterospingus xanthopygius	
Hylocharis grayi		Hylocharis grayi	San Antonio-1
Hypnelus ruficollis	ruficollis	Hypnelus ruficollis	Calamar-2; Marangue-1
Icterus auricapillus		Icterus auricapillus	Honda-1
Icterus chrysater		Icterus chrysater	Fusagasuga-1; Honda-1
Icterus mesomelas		Icterus mesomelas	Banco-1; Puerto Berrio-2
Icterus nigrogularis		Icterus nigrogularis	Calamar-1; Marangue-1
Iridosornis rufivertex		Iridosornis rufivertex	-1
Ixobrychus exilis	bogotensis	Ixobrychus exilis	Bogota-1
Jacana jacana	melanopygia	Jacana jacana	Calamar-2; Cali-1
Jacana jacana	hypomelaena	Jacana jacana	Calamar-2; Cali-1
Damophila julie	julie	Juliamyia julie	_Icononzo-2
Lafresnaya lafresnayi		Lafresnaya lafresnayi	
Laterallus melanophaius		Laterallus melanophaius	
Lepidocolaptes albolineatus		Lepidocolaptes albolineatus	El Consuelo-1; Villavicencio-1
Lepidocolaptes lacrymiger	lacrymiger	Lepidocolaptes lacrymiger	Miraflores-1; San Antonio-1
Lepidocolaptes souleyetii		Lepidocolaptes souleyetii	
Lepidopyga goudoti		Lepidopyga goudoti	
Pipra isidorei	isidorei	Lepidothrix isidorei	
Leptotila rufaxilla	pallidipectus	Leptotila rufaxilla	Villavicencio-2
Leptotila verreauxi	decolor	Leptotila verreauxi	Miraflores-2; Puerto Berrio-1
Leptotila verreauxi	verreauxi	Leptotila verreauxi	Miraflores-2; Puerto Berrio-1
Lesbia victoriae	victoriae	Lesbia victoriae	
Lipaugus fuscocinereus		Lipaugus fuscocinereus	El Eden-1; Los Robles-1
Lipaugus unirufus	castaneotinctus	Lipaugus unirufus	
Lophornis delattrei		Lophornis delattrei	
Lophotriccus pileatus	squamaecrista	Lophotriccus pileatus	Miraflores-1
Lurocalis semitorquatus	rufiventris	Lurocalis semitorquatus	Aguadita-4
Machaeropterus deliciosus		Machaeropterus deliciosus	Buenavista-1
Machaeropterus regulus	regulus	Machaeropterus regulus	
Malacoptila mystacalis		Malacoptila mystacalis	
Manacus manacus	flaviolus	Manacus manacus	
Manacus vitellinus	viridiventris	Manacus vitellinus	_Guengue-1; Cisneros-1
Margarornis squamiger	perlata	Margarornis squamiger	El Penon-1; Los Robles-1
Masius chrysopterus	chrysopterus	Masius chrysopterus	Fusagasuga-4
Mecocerculus leucophrys	setophagoides	Mecocerculus leucophrys	-1; Chipaque-1
Megaceryle torquata	torquata	Megaceryle torquata	Algodonal-1; Cali-1
Melanerpes cruentatus		Melanerpes cruentatus	Buena Vista-2; Villavicencio-1
Melanerpes formicivorus	flavigula	Melanerpes formicivorus	Miraflores-1
Melanerpes subelegans		Melanerpes rubricapillus	Chicoral-1; Honda-1; Remolino-1
Merganetta armata	colombiana	Merganetta armata	-1
Metallura tyrianthina	tyrianthina	Metallura tyrianthina	-1; Bogota-1; Choachi-1; Laguneta-1
Milvago chimachima	cordatus	Milvago chimachima	La Manuelita-1
Milvago chimachima		Milvago chimachima	La Manuelita-1
Mimus gilvus	melanopterus	Mimus gilvus	Ibague-1
Mionectes striaticollis	columbianus	Mionectes striaticollis	Los Robles-2; Miraflores-1
Mitrospingus cassinii		Mitrospingus cassinii	
Molothrus bonariensis	cabanisii	Molothrus bonariensis	San Antonio-3
Momotus momota	microstephanus	Momotus momota	Algodonal-1; Miraflores-2
Momotus momota	lessonii	Momotus momota	Algodonal-1; Miraflores-2
Momotus momota	aequatorialis	Momotus momota	Algodonal-1; Miraflores-2
Momotus momota	subrufescens	Momotus momota	Algodonal-1; Miraflores-2
Monasa morphoeus	peruana	Monasa morphoeus	Florencia-1
Myadestes ralloides	plumbeiceps	Myadestes ralloides	Fusagasuga-1; Miraflores-1; San Antonio-1
Myadestes ralloides	venezuelensis	Myadestes ralloides	Fusagasuga-1; Miraflores-1; San Antonio-1
Myiarchus ferox	venezuelensis	Myiarchus ferox	Villavicencio-1
Myiarchus tuberculifer	nigriceps	Myiarchus tuberculifer	Miraflores-1
Myiarchus tuberculifer		Myiarchus tuberculifer	Miraflores-1
Myiarchus tuberculifer	migriceps	Myiarchus tuberculifer	Miraflores-1
Myioborus ornatus		Myioborus ornatus	Choachi-1; El Penon-1
Myiodynastes maculatus	nobilis	Myiodynastes maculatus	Calamar-1
Myiophobus flavicans	flavicans	Myiophobus flavicans	Fusagasuga-1
Basileuterus coronatus		Myiothlypis coronata	Fusagasuga-1; Miraflores-1; San Antonio-1
Basileuterus luteoviridis		Myiothlypis luteoviridis	
Myiotriccus ornatus	ornatus	Myiotriccus ornatus	Fusagasuga-2
Myiozetetes cayanensis		Myiozetetes cayanensis	Puerto Berrio-1
Myrmeciza longipes	boucardi	Myrmeciza longipes	Chicoral-3; Ibague-1
Myrmothera campanisona	modesta	Myrmothera campanisona	Villavicencio-2
Myrmotherula axillaris	melaena	Myrmotherula axillaris	
Myrmotherula schisticolor	schisticolor	Myrmotherula schisticolor	Buena Vista-1; Miraflores-2
Myrmotherula schisticolor	interior	Myrmotherula schisticolor	Buena Vista-1; Miraflores-2
Myrmotherula surinamensis	pacifica	Myrmotherula surinamensis	
Myrmotherula surinamensis		Myrmotherula surinamensis	
Agelaius icterocephalus		Chrysomus icterocephalus	Calamar-1
Aglaiocercus kingi	margarethae	Aglaiocercus kingii	Bogota-1; Fusagasuga-2; Miraflores-1
Aglaiocercus kingi	kingi	Aglaiocercus kingii	Bogota-1; Fusagasuga-2; Miraflores-1
Aglaiocercus kingi	mocoa	Aglaiocercus kingii	Bogota-1; Fusagasuga-2; Miraflores-1
