Institution	CatalogNumberPrefix	CatalogNumber	CatalogNumberSuffix	CollectorName	CollectorNumber	Order	Family	Genus.Verb	Species.Verb	Subspecies.Verb	Genus.Clem	Species.Clem	Sex.Verbatim	Sex	Age	Country	ProvinceStateTerritory	PreciseLocation.Verbatim	Locality	Elevation.Verbatim	LatitudeDecimal	LongitudeDecimal	Date.From	Date.To	Date.Verbatim	Year	Month	Day	Date	ExpeditionName	ReproductiveNotes	SoftPartColorNotes	Preparation.Description	Remarks	CollectionName	InventoryStatus	InventoryDateRecorded	DeaccessionDate	DeaccessionMethod	DeaccessionNotes	AccessionNumber
CUMV	NA	5124	NA	Louis Agassiz Fuertes	LAF 3147	NA	Trochilidae	Eriocnemis	alinae		Eriocnemis	aline	NA	in question		Colombia	Cundinamarca	Choachi [Elevation 5850 feet]	Choachi	NA	NA	NA	32	32	2/1/13	1913	2	1	1913.02.01	NA			study skin		From the collection of Louis Agassiz Fuertes.	NA	NA	NA	NA	NA	NA
CUMV	NA	5710	NA	Louis Agassiz Fuertes	LAF 2807	NA	Momotidae	Baryphthengus	martii	semirufa	Baryphthengus	martii	NA	male		Colombia	Tolima	Honda	Honda	NA	5.2	-74.74	33	33	2/2/13	1913	2	2	1913.02.02	NA			study skin		From the collection of Louis Agassiz Fuertes.	NA	NA	NA	NA	NA	NA
CUMV	NA	22866	NA	Louis Agassiz Fuertes		NA	Thraupidae	Tangara	nigrocincta		Stilpnia	nigrocincta	NA	female		Colombia	Tolima	Honda	Honda	NA	5.2	-74.74	33	33	2/2/13	1913	2	2	1913.02.02	NA			study skin	Collected day before Chapman expedition no. 7; Site no. 98		NA	NA	NA	NA	NA	NA
CUMV	NA	3098	NA	Louis Agassiz Fuertes	LAF 2809	NA	Columbidae	Columbina	passerina	parvula	Columbina	passerina	NA	male		Colombia	Tolima	Honda, Magdalena River	Honda	NA	5.203655	-74.736836	33	33	2/2/13	1913	2	2	1913.02.02	NA			study skin		From the collection of Louis Agassiz Fuertes.	NA	NA	NA	NA	NA	NA
CUMV	NA	5711	NA	Louis Agassiz Fuertes	LAF 2808	NA	Momotidae	Baryphthengus	martii	semirufa	Baryphthengus	martii	NA	female		Colombia	Tolima	Honda	Honda	NA	5.2	-74.74	33	33	2/2/13	1913	2	2	1913.02.02	NA	Laying.		study skin		From the collection of Louis Agassiz Fuertes.	NA	NA	NA	NA	NA	NA
CUMV	NA	6842	NA	Louis Agassiz Fuertes	LAF 2811	NA	Furnariidae	Xiphorhynchus	guttatus	nanus	Xiphorhynchus	guttatus	NA	male		Colombia	Tolima	Honda, Magdalena Valley	Honda	NA	5.203865	-74.73731	33	33	2/2/13	1913	2	2	1913.02.02	NA			study skin			NA	NA	NA	NA	NA	NA
CUMV	NA	3676	NA	Louis Agassiz Fuertes	LAF 2810	NA	Apodidae	Streptoprocne	zonaris	albicincta	Streptoprocne	zonaris	NA	female		Colombia	Tolima	Honda, elevation 600 feet	Honda	NA	NA	NA	33	33	2/2/13	1913	2	2	1913.02.02	NA			study skin			NA	NA	NA	NA	NA	NA
CUMV	NA	6949	NA	Louis Agassiz Fuertes	LAF 3191	NA	Furnariidae	Margarornis	guttuligera		Premnornis	guttuliger	NA	undetermined		Colombia	Cundinamarca	Fusugasuga	Fusagasuga	NA	4.34	-74.36	35	35	2/4/13	1913	2	4	1913.02.04	NA			study skin	Date does not match official Chapman expedition; Site no. 74		NA	NA	NA	NA	NA	NA
CUMV	NA	7147	NA	Louis Agassiz Fuertes	LAF 2814	NA	Thamnophilidae	Myrmeciza	immaculata	immaculata	Hafferia	immaculata	NA	female		Colombia	Tolima	El Consuelo, eastern ridge above Honda	El Consuelo	NA	5.094398	-74.609574	36	36	2/5/13	1913	2	5	1913.02.05	NA	ovary not enlarged		study skin	Dates match Chapman expedition no. 7, Site no. 98 but locality matches El Consuelo (site no. 97)	bare skin blue to the back corner of eye, white beyond that point. Lower mandible 1/2 blue.	NA	NA	NA	NA	NA	NA
CUMV	NA	15916	NA	Louis Agassiz Fuertes		NA	Thraupidae	Chlorophanes	spiza		Chlorophanes	spiza	NA	male		Colombia	Tolima	Honda	Honda	NA	5.2	-74.74	36	36	2/5/13	1913	2	5	1913.02.05	NA			study skin	Expedition no. 7; Site no. 98		NA	NA	NA	NA	NA	NA
